method,horizon,relative_error,r2,simplex_violation,n_eval,task,n_clusters,omega,effective_subspace_dim
kahkm_nlms,5,0.5018301444874641,0.3195721436599356,0.02108639892346839,1055,Acrobot-v1,20,4.0,6
kahkm_nlms,10,0.5765326857459071,0.22375241077329344,0.003917553810916863,1025,Acrobot-v1,20,4.0,6
kahkm_nlms,20,0.6456492898670677,0.1395491493176425,1.3211653993039363e-14,965,Acrobot-v1,20,4.0,6
kahkm_nlms,50,0.7624707718141457,-0.009227665874716351,2.3869795029440866e-14,785,Acrobot-v1,20,4.0,6
kahkm_nlms,1,0.44652140804485474,0.4888908255387193,0.029016549829226083,1079,Acrobot-v1,20,8.0,6
kahkm_nlms,5,0.7098721030026007,0.1903634943761583,0.01867721942027695,1055,Acrobot-v1,20,8.0,6
kahkm_nlms,10,0.7803997740917671,0.11291640834214578,0.0035027710258459023,1025,Acrobot-v1,20,8.0,6
kahkm_nlms,20,0.8420389801209405,0.047766858144968616,5.88418203051333e-15,965,Acrobot-v1,20,8.0,6
kahkm_nlms,50,0.9246153432558196,-0.04577416160635317,1.0436096431476471e-14,785,Acrobot-v1,20,8.0,6
kahkm_nlms,1,0.009666324415078876,0.8284698080664993,8.881784197001252e-16,1079,Acrobot-v1,40,0.5,6
kahkm_nlms,5,0.02777598566117759,0.5121927682700758,1.9984014443252818e-15,1055,Acrobot-v1,40,0.5,6
kahkm_nlms,10,0.034501826766356124,0.4018956407235078,3.552713678800501e-15,1025,Acrobot-v1,40,0.5,6
kahkm_nlms,20,0.04686630814260723,0.20122421487112918,7.105427357601002e-15,965,Acrobot-v1,40,0.5,6
kahkm_nlms,50,0.07315602470020689,-0.181151567779531,1.5987211554602254e-14,785,Acrobot-v1,40,0.5,6
kahkm_nlms,1,0.03283012279232755,0.8118504018970485,8.881784197001252e-16,1079,Acrobot-v1,40,1.0,6
kahkm_nlms,5,0.07256344543174376,0.5860856472669974,2.886579864025407e-15,1055,Acrobot-v1,40,1.0,6
kahkm_nlms,10,0.09409619265310382,0.4659331700138398,4.440892098500626e-15,1025,Acrobot-v1,40,1.0,6
kahkm_nlms,20,0.11776995231293316,0.3326587047379216,7.993605777301127e-15,965,Acrobot-v1,40,1.0,6
kahkm_nlms,50,0.1365760082982919,0.22529623238215835,1.7319479184152442e-14,785,Acrobot-v1,40,1.0,6
kahkm_nlms,1,0.09866333133895666,0.7836064369229341,0.0018270757756144937,1079,Acrobot-v1,40,2.0,6
kahkm_nlms,5,0.19584272834456343,0.571103278915366,0.015361643160882258,1055,Acrobot-v1,40,2.0,6
kahkm_nlms,10,0.2463327640782996,0.46038423906557413,0.016282187113619805,1025,Acrobot-v1,40,2.0,6
kahkm_nlms,20,0.2879358489841109,0.3639959364975148,1.0103029524088925e-14,965,Acrobot-v1,40,2.0,6
kahkm_nlms,50,0.345130819255114,0.1919560517854053,1.9095836023552692e-14,785,Acrobot-v1,40,2.0,6
kahkm_nlms,1,0.26137464901330176,0.6702872118365144,0.03991376685452441,1079,Acrobot-v1,40,4.0,6
kahkm_nlms,5,0.5152775359882692,0.35292100094733514,0.06405890933847741,1055,Acrobot-v1,40,4.0,6
kahkm_nlms,10,0.601001360611082,0.2486057953419395,0.05092976210786905,1025,Acrobot-v1,40,4.0,6
kahkm_nlms,20,0.6652969303934385,0.1715655431449008,0.022686055989236238,965,Acrobot-v1,40,4.0,6
kahkm_nlms,50,0.7386093920412922,0.06714117670769693,2.398081733190338e-14,785,Acrobot-v1,40,4.0,6
kahkm_nlms,1,0.478851397122972,0.4798473023836931,0.07189788302756767,1079,Acrobot-v1,40,8.0,6
kahkm_nlms,5,0.7400992497531336,0.1978952456164813,0.0669136857277781,1055,Acrobot-v1,40,8.0,6
kahkm_nlms,10,0.8019345671389411,0.1329004971353771,0.03966212224281604,1025,Acrobot-v1,40,8.0,6
kahkm_nlms,20,0.8439757455840116,0.08982173346881239,0.004998825531879907,965,Acrobot-v1,40,8.0,6
kahkm_nlms,50,0.8944786304494283,0.03058427439523126,2.1760371282653068e-14,785,Acrobot-v1,40,8.0,6
