config_name,n_clusters,omega,n_train_trajectories,horizon,n_runs,relative_association_error_mean,relative_association_error_std,association_r2_mean,association_r2_std,simplex_violation_mean,simplex_violation_max,fit_seconds_mean
robust_tuned,25,4.0,1,50,3,0.09885415563657395,0.007541037644039756,0.882196712728336,0.008846507510222212,0.08984635233904573,0.09487549428582359,0.18439165751139322
robust_tuned,25,4.0,1,100,3,0.20105598860178459,0.005229844281263267,0.7619092507594558,0.006020697004117957,0.07244314693226349,0.07545626772545068,0.18439165751139322
robust_tuned,25,4.0,1,200,3,0.2001809935487131,0.005355490319844202,0.7600176368704624,0.006054209114008474,0.045782085562949666,0.05546916620433846,0.18439165751139322
robust_tuned,25,4.0,2,1,3,0.003165525075353889,0.0005715600258087745,0.9962081277299787,0.0006760263362957991,0.023157187451586344,0.026013034838440634,0.28510618209838867
robust_tuned,25,4.0,2,10,3,0.018012176801190487,0.0020734899976324853,0.9784429502888997,0.0024314093279412105,0.06219806444997371,0.07210869013689734,0.28510618209838867
robust_tuned,25,4.0,2,50,3,0.08552860969556558,0.006954559107924272,0.8984072729333882,0.008048292497795049,0.0962829214996673,0.13376252497603838,0.28510618209838867
robust_tuned,25,4.0,2,100,3,0.18564284051739358,0.00361813905920056,0.7805653092053635,0.004071864965495652,0.08760919945471439,0.09056905278885688,0.28510618209838867
robust_tuned,25,4.0,2,200,3,0.18029449973464215,0.007293891074808056,0.7846217113919178,0.0077325249763076885,0.05212473313438076,0.06595588078707876,0.28510618209838867
robust_tuned,25,4.0,3,1,3,0.0025360429368252633,0.00044614660809537263,0.996965118555079,0.0005278920571277122,0.023014991471204897,0.025709796980944187,0.4324405988057454
robust_tuned,25,4.0,3,10,3,0.014801111621489397,0.0020151579707787383,0.9823052083034888,0.0023721972380775632,0.07013465027873939,0.0744680742501007,0.4324405988057454
robust_tuned,25,4.0,3,50,3,0.07706846777451216,0.005286952656633169,0.9085489758627208,0.006048952906252448,0.08862058704258338,0.0901703079291086,0.4324405988057454
robust_tuned,25,4.0,3,100,3,0.17954535129209429,0.006026792820242602,0.787883462282736,0.006349528121407625,0.07864703793951537,0.0833090926429212,0.4324405988057454
robust_tuned,25,4.0,3,200,3,0.1764466343051381,0.00950577061686301,0.789372432834332,0.010449061922912365,0.05803707166134521,0.06680248661466276,0.4324405988057454
robust_tuned,25,4.0,5,1,3,0.0025286365584239316,0.00014756125951033872,0.9969567127164873,0.00017315548189851597,0.0231821898824046,0.025447481872332346,0.8536779880523682
robust_tuned,25,4.0,5,10,3,0.013575858544194786,0.0015870323841800718,0.9836818645213071,0.0018828314863743717,0.07323689953386331,0.08172169164340513,0.8536779880523682
robust_tuned,25,4.0,5,50,3,0.06995910098175354,0.0010736492012549577,0.9166225684313944,0.0012008863563021616,0.0909359961834703,0.10927365867857822,0.8536779880523682
robust_tuned,25,4.0,5,100,3,0.16919368923496875,0.0021791522811031175,0.7996449593620656,0.0024326182371324436,0.09078918642519633,0.10094772478666887,0.8536779880523682
