experiment,seed,n_steps,dt,mu,train_fraction,n_train,n_test_snapshots,state_dim,n_clusters,effective_regimes,subspace_dim,Nb,omega,tau,beta,nlms_epochs,rollout_mode,horizon,n_start_points,relative_association_error,association_r2,simplex_violation
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_simplex_project_each_step,5,396,0.009433894103843458,0.9883521313632704,5.551115123125783e-16
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_simplex_project_each_step,10,391,0.01440677620511361,0.9822631076013899,5.551115123125783e-16
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_simplex_project_each_step,20,381,0.02341814973855614,0.9713258518981862,6.661338147750939e-16
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_simplex_project_each_step,50,351,0.06549561546733065,0.920857797410298,6.661338147750939e-16
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_simplex_project_each_step,100,301,0.1281025939085128,0.8414793576628942,5.551115123125783e-16
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_simplex_project_each_step,200,201,0.19897244818329082,0.7334318505097804,6.661338147750939e-16
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,row_stochastic_free,1,400,0.004487215905729661,0.9944468615778955,9.992007221626409e-16
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,row_stochastic_free,2,399,0.012895042408682382,0.9840510513603455,8.881784197001252e-16
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,row_stochastic_free,5,396,0.05197470698204856,0.9358277130636042,1.1102230246251565e-15
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,row_stochastic_free,10,391,0.1400432101540273,0.8275859002532245,1.5543122344752192e-15
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,row_stochastic_free,20,381,0.31398821242895447,0.6155398865441399,2.220446049250313e-15
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,row_stochastic_free,50,351,0.6053497336234666,0.2685203289684718,3.774758283725532e-15
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,row_stochastic_free,100,301,0.7389578550929867,0.08557609744383243,6.439293542825908e-15
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,row_stochastic_free,200,201,0.7856684476993004,-0.05257881746083681,3.9968028886505635e-15
