rollout_mode,horizon,n_runs,relative_association_error_mean,relative_association_error_std,relative_association_error_min,relative_association_error_max,association_r2_mean,association_r2_std,simplex_violation_mean,simplex_violation_max
raw_free,10,3,0.015247138511131547,0.002335141685010014,0.01255280967105293,0.01668557595682394,0.9811030100114331,0.00274387334818048,0.07322916571613186,0.08137523684723166
raw_free,20,3,0.02604004291288863,0.0022279807452926497,0.02348464148073746,0.02757531078877812,0.9679147687868245,0.002495245264606128,0.07492891695733267,0.08158317049732927
raw_free,50,3,0.08355032125554995,0.003305974251858861,0.07998471132764529,0.08651392473553901,0.898658697778405,0.004033580808846962,0.0939617351953727,0.09674787530650235
raw_free,100,3,0.16391436858519937,0.010935486226646243,0.15133189616600082,0.17112533294933693,0.7970456967766338,0.013611660555943844,0.08418919805827846,0.10270194081867523
raw_free,200,3,0.17955130008636302,0.03211640809555673,0.15999754440054115,0.2166174001221972,0.7578503407530764,0.041686400718193926,0.05753871753000378,0.07265307509337388
raw_simplex_project_each_step,1,3,0.0018427612799462,0.0004536467622449059,0.001451879195309739,0.002340201961052256,0.9977043892853353,0.0005456388354239829,5.921189464667501e-16,6.661338147750939e-16
raw_simplex_project_each_step,2,3,0.003967237255821384,0.000808563816088895,0.00317734950951087,0.004793265176303388,0.9950600558905544,0.0009638843053079441,5.921189464667501e-16,6.661338147750939e-16
raw_simplex_project_each_step,5,3,0.008217311603096933,0.0014056028952310862,0.006678609280541052,0.009433894103843458,0.9897853917203946,0.001659234314925761,6.291263806209221e-16,6.661338147750939e-16
raw_simplex_project_each_step,10,3,0.013084557035299196,0.0018938354975456758,0.010914999492391601,0.01440677620511361,0.9837826992814086,0.002213930910149601,5.551115123125783e-16,5.551115123125783e-16
raw_simplex_project_each_step,20,3,0.022150413132842783,0.002051391763706675,0.019783674063857146,0.02341814973855614,0.9727082436464198,0.0023198741006514815,5.921189464667501e-16,6.661338147750939e-16
raw_simplex_project_each_step,50,3,0.06324668706897768,0.0019514838978257289,0.061999625162709,0.06549561546733065,0.9232904696753311,0.002154603466075701,5.181040781584064e-16,6.661338147750939e-16
raw_simplex_project_each_step,100,3,0.11607612820785358,0.01108554525347183,0.10626652793195486,0.1281025939085128,0.8562822463927061,0.013684264365578012,5.551115123125783e-16,6.661338147750939e-16
raw_simplex_project_each_step,200,3,0.15316467328476535,0.0397178077203747,0.12832685997157414,0.19897244818329082,0.7935180701195689,0.05206821646709977,5.551115123125783e-16,6.661338147750939e-16
row_stochastic_free,1,3,0.003932715213650624,0.0005159762764584097,0.0034667103849337737,0.004487215905729661,0.995097695410378,0.0006003818171400039,9.62193288008469e-16,9.992007221626409e-16
row_stochastic_free,2,3,0.011851005303401949,0.0010620245646753383,0.01077186372299131,0.012895042408682382,0.985233193268432,0.0011895178722061423,9.62193288008469e-16,9.992007221626409e-16
row_stochastic_free,5,3,0.049802703711990026,0.002677618785107065,0.04681106735212509,0.05197470698204856,0.9380470125326915,0.0027656067255510393,1.2212453270876722e-15,1.3322676295501878e-15
row_stochastic_free,10,3,0.1370240347789212,0.004684692436138368,0.131627317268224,0.1400432101540273,0.8300560380968479,0.004336215470563435,1.5913196686293911e-15,1.6653345369377348e-15
row_stochastic_free,20,3,0.3143261064996408,0.007186157015099934,0.30731485692601734,0.32167525014395065,0.612555305369266,0.007085615639464052,2.294460917558657e-15,2.4424906541753444e-15
row_stochastic_free,50,3,0.6281005424903591,0.020198431161954043,0.6053497336234666,0.6439230969472236,0.23811562910121206,0.02643061314988878,4.107825191113079e-15,4.440892098500626e-15
row_stochastic_free,100,3,0.8131220381901793,0.06511447638248412,0.7389578550929867,0.8609116268183764,-0.0068011538666039595,0.08120286206775731,6.809367884367627e-15,7.105427357601002e-15
row_stochastic_free,200,3,0.9561687859864513,0.14892504535562368,0.7856684476993004,1.060806969911069,-0.29140562584157764,0.20938493461260244,8.400687552997018e-15,1.0880185641326534e-14
