experiment,random_state,n_steps,dt,data_seed,train_fraction,n_train,n_test_snapshots,state_dim,n_clusters,effective_regimes,subspace_dim,Nb,omega,tau,beta,nlms_epochs,matrix,horizon,n_start_points,relative_association_error,association_r2,simplex_violation
03_duffing_kahkm_multistep_association_rollout,1,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw,20,281,9.462595369808308e-05,0.8835819191992436,0.0008394798437032987
03_duffing_kahkm_multistep_association_rollout,1,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw,50,251,0.00030855069578634433,0.5149795581507723,0.0016844603682915223
03_duffing_kahkm_multistep_association_rollout,1,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw,100,201,0.00040146560433563356,0.1826383155004413,0.0019003900272743998
03_duffing_kahkm_multistep_association_rollout,1,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw,200,101,0.000443562569293529,-2.1585638770985147,0.0005247841190851096
03_duffing_kahkm_multistep_association_rollout,1,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic,1,300,1.3469278294496898e-05,0.9847574753496837,4.440892098500626e-16
03_duffing_kahkm_multistep_association_rollout,1,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic,2,299,5.252308048947857e-05,0.9404700450718427,6.661338147750939e-16
03_duffing_kahkm_multistep_association_rollout,1,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic,5,296,0.0003145849887908903,0.6413960962225901,6.661338147750939e-16
03_duffing_kahkm_multistep_association_rollout,1,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic,10,291,0.001184963136069126,-0.3721220311525315,1.1102230246251565e-15
03_duffing_kahkm_multistep_association_rollout,1,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic,20,281,0.004227474958485103,-4.201052164508472,1.5543122344752192e-15
03_duffing_kahkm_multistep_association_rollout,1,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic,50,251,0.01904947308564435,-28.944459627444807,3.3306690738754696e-15
03_duffing_kahkm_multistep_association_rollout,1,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic,100,201,0.046015647238402006,-92.6853033832353,6.8833827526759706e-15
03_duffing_kahkm_multistep_association_rollout,1,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic,200,101,0.08668898949644702,-616.3034645411066,1.2434497875801753e-14
03_duffing_kahkm_multistep_association_rollout,2,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw,1,300,1.6841944833138797e-05,0.9864725608795796,0.00014528005961627062
03_duffing_kahkm_multistep_association_rollout,2,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw,2,299,3.119015917171617e-05,0.9749122439810834,0.000295764339753809
03_duffing_kahkm_multistep_association_rollout,2,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw,5,296,8.506060865648504e-05,0.9312302269154602,0.0007422387239295968
03_duffing_kahkm_multistep_association_rollout,2,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw,10,291,0.00019159207086161717,0.8430537549677833,0.001454747356985549
03_duffing_kahkm_multistep_association_rollout,2,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw,20,281,0.00042600448462158945,0.6333105059260427,0.00267306269663109
03_duffing_kahkm_multistep_association_rollout,2,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw,50,251,0.0008302668861886481,0.10243302141947919,0.003766861311025793
03_duffing_kahkm_multistep_association_rollout,2,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw,100,201,0.0009816767922550351,-0.20483682602185094,0.003025304781377415
03_duffing_kahkm_multistep_association_rollout,2,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw,200,101,0.0006611128021542516,-1.8424331928783118,0.0012008924736294994
03_duffing_kahkm_multistep_association_rollout,2,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic,1,300,3.956257447366488e-05,0.9682233659507921,5.551115123125783e-16
03_duffing_kahkm_multistep_association_rollout,2,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic,2,299,0.0001208219899305593,0.9028170203168897,4.440892098500626e-16
03_duffing_kahkm_multistep_association_rollout,2,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic,5,296,0.000621328125717279,0.4976688400011581,4.440892098500626e-16
03_duffing_kahkm_multistep_association_rollout,2,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic,10,291,0.0021910385196537894,-0.7948303749427212,4.440892098500626e-16
03_duffing_kahkm_multistep_association_rollout,2,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic,20,281,0.0074393139969754244,-5.403496639786264,6.661338147750939e-16
03_duffing_kahkm_multistep_association_rollout,2,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic,50,251,0.031969989824722427,-33.56142554829792,8.881784197001252e-16
03_duffing_kahkm_multistep_association_rollout,2,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic,100,201,0.07751146473584083,-94.1317866424341,1.3322676295501878e-15
03_duffing_kahkm_multistep_association_rollout,2,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic,200,101,0.15280325624148966,-655.9726771368152,1.5543122344752192e-15
