system,seed,train_fraction,horizon,n_eval_starts,relative_association_error,association_r2,simplex_violation
duffing,1,0.5,50,751,0.0007683481428703213,0.02756262289256617,0.002894211181933769
duffing,1,0.5,100,701,0.0009759824326990425,-0.6852041840571963,0.0014490284906424466
duffing,1,0.5,200,601,0.0011345110515327335,-2.0413795279931413,2.298161660974074e-14
duffing,1,0.75,1,400,4.857369920527166e-07,0.9979647468173308,1.7914823764745356e-05
duffing,1,0.75,10,391,1.1581023959942969e-05,0.9520461559866047,0.00017482452678658407
duffing,1,0.75,50,351,0.00011501465563679099,0.5222558314530839,0.0004966125412851497
duffing,1,0.75,100,301,0.00015080068728649546,0.3768427921154459,0.000770920091033904
duffing,1,0.75,200,201,0.00012590166939442684,0.39795921135819756,0.0008478524935759427
duffing,2,0.25,1,1200,0.00013514645729429263,0.9912164183405079,0.0003761565623547386
duffing,2,0.25,10,1191,0.00601934665101945,0.5855147770110408,0.003284172794176961
duffing,2,0.25,50,1151,0.05156903455424681,-3.79862834395667,0.00971213440962051
duffing,2,0.25,100,1101,0.02348808791372708,-1.951443179248384,0.011363010676898972
duffing,2,0.25,200,1001,0.03071121357741589,-6.7504344714748425,0.007010436298104792
duffing,2,0.5,1,800,2.8395833946873084e-05,0.97862073889254,4.440892098500626e-16
duffing,2,0.5,10,791,0.0004288295063865632,0.6430690187268027,1.7763568394002505e-15
duffing,2,0.5,50,751,0.002041631994764348,-1.2406776445583017,6.439293542825908e-15
duffing,2,0.5,100,701,0.0023928466142897216,-2.163197814384621,1.0880185641326534e-14
duffing,2,0.5,200,601,0.0032539449839539287,-16.78876510453926,1.4432899320127035e-14
duffing,2,0.75,1,400,4.4778185565947535e-07,0.9918754843532989,7.281685536525022e-06
duffing,2,0.75,10,391,7.0826697265835875e-06,0.8704117887582585,0.0001098958221303847
duffing,2,0.75,50,351,3.7794619740176953e-05,0.1974730484082411,0.00027674468507992155
duffing,2,0.75,100,301,5.8283966125081816e-05,-0.40290445507868733,0.00041091572863106003
duffing,2,0.75,200,201,9.129240920693194e-05,-0.7025754144531222,0.00028630746335119424
vanderpol,0,0.25,1,1200,0.0033256182858751094,0.9959707094523604,0.02220472601746119
vanderpol,0,0.25,10,1191,0.03125679200328957,0.9621461580049354,0.125219293217271
vanderpol,0,0.25,50,1151,0.10845824242684857,0.8685738662787108,0.08917386838088458
vanderpol,0,0.25,100,1101,0.1854979540811505,0.7742750316227096,0.07340405588087677
vanderpol,0,0.25,200,1001,0.19740940192123724,0.7620891702572026,0.09457019970290993
vanderpol,0,0.5,1,800,0.0024321817861541984,0.9970003444659603,0.02189331771045105
vanderpol,0,0.5,10,791,0.019885048576512496,0.9754151638881546,0.08695110092604473
vanderpol,0,0.5,50,751,0.09128259053460291,0.8872197386541807,0.08852308739505718
vanderpol,0,0.5,100,701,0.19095295541630897,0.7675494923088515,0.0876198733662276
vanderpol,0,0.5,200,601,0.17714962258705266,0.7816083670416362,0.0590062095760002
vanderpol,0,0.75,1,400,0.0017910268988048164,0.9977712695316271,0.020826889026260963
vanderpol,0,0.75,10,391,0.01650302990551777,0.9795809034292529,0.08137523684723166
vanderpol,0,0.75,50,351,0.07998471132764529,0.9031899883960598,0.09674787530650235
vanderpol,0,0.75,100,301,0.15133189616600085,0.8126918541734324,0.07687495157866586
vanderpol,0,0.75,200,201,0.15999754440054118,0.7842431563648526,0.04930492535718282
vanderpol,1,0.25,1,1200,0.003059504626327292,0.9963051711240996,0.025939803484653263
vanderpol,1,0.25,10,1191,0.030654244629759683,0.9629909862831039,0.14737376452333664
vanderpol,1,0.25,50,1151,0.10205410560740691,0.8765531733283065,0.09272022305613942
vanderpol,1,0.25,100,1101,0.1799330156528846,0.781143979565728,0.0880189828720006
vanderpol,1,0.25,200,1001,0.19420720929102542,0.766019490168932,0.06039119750633532
vanderpol,1,0.5,1,800,0.002072137497598659,0.9974575710232847,0.02118954022382841
vanderpol,1,0.5,10,791,0.020071115205408413,0.975319233750725,0.10237279447862163
vanderpol,1,0.5,50,751,0.08430594324761968,0.8963225329014027,0.09139446549679106
vanderpol,1,0.5,100,701,0.18066833704206944,0.7808473703348944,0.09410717318642156
vanderpol,1,0.5,200,601,0.16357253767911867,0.7988221781787899,0.06573211928428814
vanderpol,1,0.75,1,400,0.0014896559613020658,0.9981221637968385,0.019124350830139736
vanderpol,1,0.75,10,391,0.01255280967105293,0.9842705617162393,0.06873356002380918
vanderpol,1,0.75,50,351,0.08415232770346553,0.8973259662626283,0.09609083195349803
vanderpol,1,0.75,100,301,0.17112533294933688,0.7879281598416767,0.10270194081867523
vanderpol,1,0.75,200,201,0.16203895573635088,0.7795153796741949,0.07265307509337388
vanderpol,2,0.25,1,1200,0.0035663795629070883,0.9956819910833447,0.021754866978780468
vanderpol,2,0.25,10,1191,0.034177641595399724,0.9586340030644033,0.10095710843391704
