task,regime,count,mass_fraction,mean_membership,reward_mean,termination_rate,truncation_rate,terminal_risk_within_25,empirical_persistence,learned_persistence,state0_mean,state0_std,state1_mean,state1_std,state2_mean,state2_std,state3_mean,state3_std,action_0_rate,action_1_rate,action_2_rate
CartPole-v1,57,0,0.0,nan,nan,nan,nan,nan,0.0,0.94072434395258,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
CartPole-v1,58,1,0.001,0.02156018270916191,1.0,0.0,0.0,0.0,0.0,0.9315315497424562,0.007826481014490128,0.0,-0.17877040803432465,0.0,-0.0472831167280674,0.0,0.2780490219593048,0.0,0.0,1.0,
CartPole-v1,59,0,0.0,nan,nan,nan,nan,nan,0.0,0.9508167091184248,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
CartPole-v1,60,7,0.007,0.023586672483183618,1.0,0.0,0.0,0.0,0.0,0.9229870472144538,-0.05164663387196405,0.002670127287444804,0.16687252904687608,6.589613236646627e-05,0.0027755878483211355,0.0015710470502556288,-0.27687177062034607,0.0014541518479712406,1.0,0.0,
CartPole-v1,61,0,0.0,nan,nan,nan,nan,nan,0.0,0.9697530922778635,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
CartPole-v1,62,0,0.0,nan,nan,nan,nan,nan,0.0,0.933312496656835,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
CartPole-v1,63,0,0.0,nan,nan,nan,nan,nan,0.0,0.9102036031420327,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
CartPole-v1,64,25,0.025,0.022501629240909322,1.0,0.0,0.0,0.0,0.0,0.8974808140280025,0.08543666571378708,0.009520127566991821,-0.15098027467727662,0.002126319306934171,-0.0034135278889152686,0.0023227618531218956,0.27132978081703185,0.005587375903081052,0.0,1.0,
CartPole-v1,65,0,0.0,nan,nan,nan,nan,nan,0.0,0.9373793968372959,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
CartPole-v1,66,8,0.008,0.022192720931297982,1.0,0.0,0.0,0.0,0.0,0.9575858291970739,-0.07322631403803825,0.022573912796219637,-0.17109292559325695,0.000619167069478167,-0.004399100842420012,0.0031574725755677173,0.10833689663559198,0.013659542905644181,0.125,0.875,
CartPole-v1,67,24,0.024,0.024157872327915646,1.0,0.0,0.0,0.0,0.0,0.9333506830379685,-0.2613425285865863,0.02780842232691723,-0.1706706223388513,0.00027452470492491076,-0.00040036579108952236,0.004755820460963942,0.09902247476081054,0.0060560896753744245,0.16666666666666666,0.8333333333333334,
CartPole-v1,68,2,0.002,0.02545419480101662,1.0,0.0,0.0,0.0,0.0,0.9457701547669574,-0.051903615705668926,0.03872737009078264,0.35866856575012207,0.0034480392932891846,0.026624446269124746,0.03054765472188592,-0.49659933149814606,0.07564745843410492,1.0,0.0,
CartPole-v1,69,0,0.0,nan,nan,nan,nan,nan,0.0,0.944416502641044,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
