system,operator,mode_index,lambda_real,lambda_imag,lambda_abs,rkhs_residual_feature,rkhs_residual_matrix_formula,feature_matrix_formula_abs_diff,representation_error,denominator_norm,subsample_size,num_regimes,rank_by_residual
vanderpol,nlms,9,0.9826900111628489,1.6475043629870857e-33,0.9826900111628489,0.0860385569533066,0.08603855695330723,6.245004513516506e-16,7.154234188785225e-07,0.9999994779189083,800,10,9
vanderpol,nlms,8,0.9958749436730083,-3.529169501690756e-17,0.9958749436730083,0.0991982184079325,0.09919821840794253,1.0033640585049852e-14,1.450259351753669e-06,0.9999986678365105,800,10,10
vanderpol,ridge_ls,7,0.999999999971232,6.178451237940834e-17,0.999999999971232,0.0004349742940667828,0.00043497429406633484,4.479381275623862e-16,4.61240925743867e-10,0.9999999998727872,800,10,1
vanderpol,ridge_ls,6,0.9972565149052657,0.018191888950412623,0.9974224287354784,0.004154407501151413,0.004154407501138097,1.3315737401597971e-14,3.881300603522921e-08,0.9999999794996168,800,10,2
vanderpol,ridge_ls,5,0.9972565149052652,-0.018191888950412533,0.9974224287354779,0.004154407501151796,0.004154407501136415,1.538092569974836e-14,3.881300616702214e-08,0.9999999794996166,800,10,3
vanderpol,ridge_ls,4,0.9808500073757963,0.03905302350745915,0.9816271571295152,0.011788061594716544,0.011788061594711798,4.746203430272544e-15,1.877110931100769e-07,0.9999998985726739,800,10,4
vanderpol,ridge_ls,3,0.980850007375797,-0.03905302350745922,0.9816271571295159,0.011788061594716959,0.011788061594710882,6.076736336346755e-15,1.8771109337888784e-07,0.9999998985726744,800,10,5
vanderpol,ridge_ls,9,0.9599543918912677,0.005119633007575883,0.9599680438188898,0.01641838463503034,0.016418384635022685,7.653599976009673e-15,3.990431796480497e-07,0.9999998324717354,800,10,6
vanderpol,ridge_ls,8,0.9599543918912667,-0.00511963300757593,0.9599680438188888,0.01641838463503129,0.016418384635028378,2.9108659926890823e-15,3.990431799442027e-07,0.9999998324717334,800,10,7
vanderpol,ridge_ls,2,0.9815534930711622,-0.05572464984630807,0.9831340174974589,0.0210751625092995,0.02107516250929519,4.309053114326389e-15,1.8885480537764044e-07,0.9999998824379146,800,10,8
vanderpol,ridge_ls,1,0.981553493071164,0.05572464984630823,0.9831340174974607,0.02107516250930007,0.021075162509296596,3.472916398905568e-15,1.888548056210716e-07,0.9999998824379145,800,10,9
vanderpol,ridge_ls,0,0.8885600346577429,2.7755575615628914e-16,0.8885600346577429,0.02993227423461784,0.02993227423461645,1.3912482277333993e-15,8.136797253167863e-07,0.9999994065078276,800,10,10
