n_clusters,omega,noise_level,horizon,n_runs,relative_association_error_mean,relative_association_error_std,relative_association_error_min,relative_association_error_max,association_r2_mean,association_r2_std,simplex_violation_mean,simplex_violation_max,fit_seconds_mean
10,1.0,0.02,1,3,0.00021302408583034516,7.194870473403065e-05,0.00012962138901167176,0.000305202327883075,0.9991338184165791,0.0003323371791136556,7.401486830834377e-16,8.881784197001252e-16,0.5818812052408854
10,1.0,0.02,10,3,0.005858278482522258,0.0010470084458138074,0.004599553630447639,0.007162954790014305,0.9765261693122229,0.005185777668345044,0.0009487636026805397,0.0018680917981510102,0.5818812052408854
10,1.0,0.02,50,3,0.04191267294083534,0.0069185027250099765,0.036820734045960174,0.05169415471651194,0.8368670522509367,0.035463592925093844,0.005407224142642565,0.009726390104681936,0.5818812052408854
10,1.0,0.02,100,3,0.0820417099689405,0.017819375435882436,0.0638509517219496,0.10624064652726053,0.6710264687741846,0.0921461431540135,0.004585841739890053,0.012328625727935126,0.5818812052408854
10,1.0,0.02,200,3,0.10218163121571569,0.024908627178224473,0.07457296648585691,0.1349327518502005,0.5009925152436844,0.13054360703573464,0.003960521811813054,0.006745487190293639,0.5818812052408854
10,1.0,0.05,1,3,0.00020227858989922137,8.418216124055387e-05,0.00011347028096627749,0.0003153469097290691,0.9994259886791903,0.00023888198153795563,8.881784197001252e-16,8.881784197001252e-16,0.5799142519632975
10,1.0,0.05,10,3,0.008152843669974761,0.0008758728863610599,0.006951593978362242,0.009015154116061781,0.977032393394572,0.0022640271946686016,0.0018459268657063795,0.005537780597109591,0.5799142519632975
10,1.0,0.05,50,3,0.07890583372349906,0.02304293184740165,0.059148159645822554,0.11122772756096054,0.7824514021129813,0.06139460627859057,0.011488169869901223,0.02559955347786651,0.5799142519632975
10,1.0,0.05,100,3,0.16548528109163868,0.0667705881963073,0.11775542076064408,0.25991126635631295,0.5367684810690573,0.17929239472810315,0.014145581256434205,0.03392625966238314,0.5799142519632975
10,1.0,0.05,200,3,0.16661670968850043,0.06859475200890815,0.10753800928563148,0.2627904382075605,0.42934116904292036,0.23317592807383983,2.9235872981795787e-14,4.263256414560601e-14,0.5799142519632975
