n_clusters,omega,noise_level,seed,horizon,n_eval_starts,relative_association_error,association_r2,simplex_violation,train_closure_error_noisy_train,train_association_r2_noisy_train,fit_seconds
10,0.5,0.02,2,10,391,0.0033106599259263686,0.9539563149565984,4.440892098500626e-15,0.0002092409611977494,0.9972054689210746,0.5738379955291748
10,0.5,0.02,2,50,351,0.020891328263609614,0.7202982326267304,2.1538326677728037e-14,0.0002092409611977494,0.9972054689210746,0.5738379955291748
10,0.5,0.02,2,100,301,0.03259360330376918,0.5531129095370427,3.397282455352979e-14,0.0002092409611977494,0.9972054689210746,0.5738379955291748
10,0.5,0.02,2,200,201,0.04038271546490402,0.3271554961034632,4.907185768843192e-14,0.0002092409611977494,0.9972054689210746,0.5738379955291748
10,0.5,0.05,0,1,400,0.0001812214079912263,0.998689061347366,6.661338147750939e-16,0.00150052238204143,0.9891892584501297,0.5980050563812256
10,0.5,0.05,0,10,391,0.005006866626302576,0.9639833544321146,4.884981308350689e-15,0.00150052238204143,0.9891892584501297,0.5980050563812256
10,0.5,0.05,0,50,351,0.029553318443978023,0.789260344694607,2.375877272697835e-14,0.00150052238204143,0.9891892584501297,0.5980050563812256
10,0.5,0.05,0,100,301,0.05972972424135555,0.5599905464933779,4.18554080283684e-14,0.00150052238204143,0.9891892584501297,0.5980050563812256
10,0.5,0.05,0,200,201,0.08496529772741371,0.25916218884854225,3.697042672001771e-14,0.00150052238204143,0.9891892584501297,0.5980050563812256
10,0.5,0.05,1,1,400,0.00010484408228090853,0.999257838186607,6.661338147750939e-16,0.0010299207901658058,0.9926554968507111,0.5778100490570068
10,0.5,0.05,1,10,391,0.004249676951678343,0.9699918833770104,4.218847493575595e-15,0.0010299207901658058,0.9926554968507111,0.5778100490570068
10,0.5,0.05,1,50,351,0.029871312259815642,0.7901432373717006,1.887379141862766e-14,0.0010299207901658058,0.9926554968507111,0.5778100490570068
10,0.5,0.05,1,100,301,0.0550294507820059,0.6082934532602225,3.530509218307998e-14,0.0010299207901658058,0.9926554968507111,0.5778100490570068
10,0.5,0.05,1,200,201,0.06830459614953854,0.3995720995234546,5.5067062021407764e-14,0.0010299207901658058,0.9926554968507111,0.5778100490570068
10,0.5,0.05,2,1,400,0.00022557401058887332,0.9983397168037016,6.661338147750939e-16,0.0011509577870173408,0.9917889198523817,0.5714728832244873
10,0.5,0.05,2,10,391,0.004733108621057474,0.9653177911150732,6.217248937900877e-15,0.0011509577870173408,0.9917889198523817,0.5714728832244873
10,0.5,0.05,2,50,351,0.026866485243413018,0.8078970118416993,3.019806626980426e-14,0.0011509577870173408,0.9917889198523817,0.5714728832244873
10,0.5,0.05,2,100,301,0.050421530788587056,0.6302223949689334,6.084022174945858e-14,0.0011509577870173408,0.9917889198523817,0.5714728832244873
10,0.5,0.05,2,200,201,0.07502695868444297,0.32321103947133056,9.259260025373806e-14,0.0011509577870173408,0.9917889198523817,0.5714728832244873
10,1.0,0.0,0,1,400,0.0008157912522328375,0.9968318376569777,8.881784197001252e-16,0.0009348284220139381,0.9965247806189423,0.5722367763519287
10,1.0,0.0,0,10,391,0.010927411051058135,0.9578008429410925,0.0010576311052972877,0.0009348284220139381,0.9965247806189423,0.5722367763519287
10,1.0,0.0,0,50,351,0.04173394264473,0.8442496911808408,3.2862601528904634e-14,0.0009348284220139381,0.9965247806189423,0.5722367763519287
10,1.0,0.0,0,100,301,0.053216466544685245,0.7955885717121064,0.0005493768719791491,0.0009348284220139381,0.9965247806189423,0.5722367763519287
10,1.0,0.0,0,200,201,0.05591551898297263,0.7389426448112713,6.283862319378386e-14,0.0009348284220139381,0.9965247806189423,0.5722367763519287
10,1.0,0.0,1,1,400,0.0009602693422344305,0.9962605052834864,8.881784197001252e-16,0.0011249665259353105,0.9957801237776168,0.570167064666748
10,1.0,0.0,1,10,391,0.012506572741281127,0.9515483023167252,5.329070518200751e-15,0.0011249665259353105,0.9957801237776168,0.570167064666748
10,1.0,0.0,1,50,351,0.045975555446396636,0.8273581963533717,1.6431300764452317e-14,0.0011249665259353105,0.9957801237776168,0.570167064666748
10,1.0,0.0,1,100,301,0.06450921832846349,0.7514060903353157,2.1316282072803006e-14,0.0011249665259353105,0.9957801237776168,0.570167064666748
10,1.0,0.0,1,200,201,0.07207656147185217,0.6624191418083795,2.1538326677728037e-14,0.0011249665259353105,0.9957801237776168,0.570167064666748
10,1.0,0.0,2,1,400,0.000937407329045607,0.9963225548934265,6.661338147750939e-16,0.001045247699253135,0.996071440861014,0.5687112808227539
10,1.0,0.0,2,10,391,0.011525784175952934,0.9549630373392127,0.0018110347942143779,0.001045247699253135,0.996071440861014,0.5687112808227539
10,1.0,0.0,2,50,351,0.04041163993718395,0.8474251098966363,0.001373937778629407,0.001045247699253135,0.996071440861014,0.5687112808227539
10,1.0,0.0,2,100,301,0.05102079444503897,0.801707631292986,0.0010673238627033708,0.001045247699253135,0.996071440861014,0.5687112808227539
10,1.0,0.0,2,200,201,0.05782186453213975,0.733788577370635,2.2537527399890678e-14,0.001045247699253135,0.996071440861014,0.5687112808227539
10,1.0,0.005,0,1,400,0.0005062145718850093,0.9980857238411752,6.661338147750939e-16,0.0010153575379129465,0.9963082692368009,0.5750439167022705
10,1.0,0.005,0,10,391,0.008913635801820915,0.9664596838494839,0.0030893925803771836,0.0010153575379129465,0.9963082692368009,0.5750439167022705
