n_clusters,omega,noise_level,weighted_long_horizon_score,E50,E100,E200
20,2.0,0.05,0.3988396104171793,0.189956375722385,0.357441659726662,0.5239802031098351
20,4.0,0.0,0.15164182250336888,0.08355032125554994,0.1639143685851994,0.17955130008636308
20,4.0,0.005,0.1738347988681262,0.09532672767780276,0.1842980424007756,0.20785721269696322
20,4.0,0.01,0.17223458849455986,0.09758768391422841,0.17929569986978075,0.20602748509711516
20,4.0,0.02,0.24333487050555883,0.13710862234251656,0.23487194355482982,0.30067945806244445
20,4.0,0.05,0.5463589242138502,0.34655491661582755,0.5286277753081825,0.6551265024656954
25,0.25,0.0,0.022194538916017095,0.018220029298432177,0.022793715260935918,0.02388220555235014
25,0.25,0.005,0.021313882454589348,0.015313966673743684,0.022539401981948537,0.023701080581332586
25,0.25,0.01,0.020516907486400456,0.01408979499422989,0.02221125427358834,0.022883290338891797
25,0.25,0.02,0.020884460831871163,0.013279603344986157,0.022067618115987224,0.024095310933255634
25,0.25,0.05,0.04804260323074307,0.021652166977282193,0.03781801809901329,0.0663501139233384
25,0.5,0.0,0.061614025215421406,0.05442225447936782,0.06565647882159771,0.06318868378036005
25,0.5,0.005,0.05891536471777493,0.04179044179037077,0.05752610099544585,0.06817245804264155
25,0.5,0.01,0.05447793627557419,0.03618166924280068,0.05078265758815636,0.06547370913566987
25,0.5,0.02,0.05322088841577979,0.03251641622887641,0.046172011270463394,0.06709756308188969
25,0.5,0.05,0.0729091141855668,0.0422097775039069,0.06454193465167754,0.09244237229334136
25,1.0,0.0,0.09116049968805313,0.08209951305371825,0.09310006655926792,0.09472120956961318
25,1.0,0.005,0.08699068227254536,0.07209328818949859,0.09057731111102939,0.09264606489482673
25,1.0,0.01,0.09274798689421587,0.06839549446029693,0.089569616262632,0.10651341842696727
25,1.0,0.02,0.09624907860126301,0.0662088661533654,0.09194562392509628,0.1134209121632952
25,1.0,0.05,0.14013519659031567,0.08413496781393716,0.14011692949270266,0.16814444452731142
25,2.0,0.0,0.14245459527813548,0.09302825085338892,0.14187377883937036,0.16745817570989133
25,2.0,0.005,0.14626896278204257,0.09829156587178489,0.1675461866741978,0.1596190492910938
25,2.0,0.01,0.14573593607424712,0.0916549469092105,0.1626506078039366,0.16431909479192072
25,2.0,0.02,0.1738412793276377,0.09902829177600542,0.16566981830833427,0.21533350361310555
