regime,count,mass_fraction,mean_reward,terminal_next_rate,terminal_risk_within_25,action_0_prob,action_1_prob,action_2_prob,action_purity,mean_tip_height,mean_theta1,mean_theta2
24,4,0.0037071362372567192,-1.0,0.0,0.5,0.0,0.0,1.0,1.0,0.13964467576279244,0.7665583285709895,2.9126909303723147
25,18,0.016682113067655237,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.2347833244486586,-0.02408941120171817,0.1209729399169192
26,4,0.0037071362372567192,-1.0,0.0,0.75,1.0,0.0,0.0,1.0,-0.8971825105719937,-0.08472016904513792,-0.03542907916608362
27,5,0.004633920296570899,-0.8,0.2,0.8,0.8,0.2,0.0,0.8,0.013335766727221407,-0.363107466429058,0.5427234059791125
28,81,0.07506950880444857,-1.0,0.0,0.0,0.3333333333333333,0.1728395061728395,0.49382716049382713,0.49382716049382713,-1.8079577990743758,0.006172663995703964,0.3260327576457111
29,15,0.013901760889712697,-1.0,0.0,0.06666666666666667,1.0,0.0,0.0,1.0,-0.15137767555490816,0.14623956794195447,-0.6346635267961525
30,1,0.0009267840593141798,-1.0,0.0,1.0,1.0,0.0,0.0,1.0,-1.3830145950407606,0.5722192989013106,0.4253890103449255
31,10,0.009267840593141797,-1.0,0.0,0.2,0.0,0.2,0.8,0.8,-1.680134426491729,-0.134459812818784,0.038322636551982814
32,12,0.011121408711770158,-1.0,0.0,0.16666666666666666,1.0,0.0,0.0,1.0,-0.9996750476138248,-0.08625074231484016,1.2392549851573038
33,13,0.012048192771084338,-0.9230769230769231,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.07692307692307693,0.6923076923076923,0.6923076923076923,0.09570178610693712,0.12026754848065596,-0.5812572789754789
34,8,0.0074142724745134385,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.5260168739456801,-0.3311540858421368,1.5863325618483268
35,9,0.008341056533827619,-1.0,0.0,0.1111111111111111,1.0,0.0,0.0,1.0,-1.6680219814919415,0.07566169364513683,0.3899816280179518
36,22,0.020389249304911955,-1.0,0.0,0.13636363636363635,0.045454545454545456,0.045454545454545456,0.9090909090909091,0.9090909090909091,-1.2350699103775498,-0.19453987964604968,-0.3389658244855797
37,51,0.047265987025023166,-1.0,0.0,0.13725490196078433,0.0392156862745098,0.0196078431372549,0.9411764705882353,0.9411764705882353,-1.218471932308115,0.03317407045082282,-0.16063704944080445
38,2,0.0018535681186283596,-1.0,0.0,1.0,0.0,0.0,1.0,1.0,-1.4446666030665691,-0.19885364874697387,1.2801017316476622
39,18,0.016682113067655237,-1.0,0.0,0.4444444444444444,0.0,0.1111111111111111,0.8888888888888888,0.8888888888888888,-0.2745348830007235,-0.45101577098684026,-1.7060433049482868
40,33,0.030583873957367932,-1.0,0.0,0.3333333333333333,0.06060606060606061,0.0,0.9393939393939394,0.9393939393939394,-1.479050298787138,0.09557045191701029,0.057223917655877435
41,19,0.017608897126969416,-1.0,0.0,0.0,0.8947368421052632,0.0,0.10526315789473684,0.8947368421052632,-0.5054190387543293,0.030057252934933065,0.35813598653827805
42,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
43,68,0.06302131603336422,-1.0,0.0,0.0,0.07352941176470588,0.014705882352941176,0.9117647058823529,0.9117647058823529,-1.8180861112198763,-0.14419222047736382,0.08300249269522032
44,39,0.03614457831325301,-1.0,0.0,0.15384615384615385,0.0,0.05128205128205128,0.9487179487179487,0.9487179487179487,-0.40982429100105844,0.17460001071864648,1.6059221177269631
45,14,0.012974976830398516,-1.0,0.0,0.35714285714285715,1.0,0.0,0.0,1.0,-1.5788342441717809,0.12467527371921272,-0.509068497309853
46,13,0.012048192771084338,-0.9230769230769231,0.07692307692307693,0.46153846153846156,0.23076923076923078,0.0,0.7692307692307693,0.7692307692307693,-0.007569905311209568,0.3887370638610342,0.8711240430789337
47,14,0.012974976830398516,-1.0,0.0,0.6428571428571429,1.0,0.0,0.0,1.0,-0.32611835534008904,0.23701854201710945,1.8480083680140165
48,15,0.013901760889712697,-1.0,0.0,1.0,0.8666666666666667,0.06666666666666667,0.06666666666666667,0.8666666666666667,-1.002549079939809,0.2623252185122368,-0.505362304918971
49,19,0.017608897126969416,-1.0,0.0,0.2631578947368421,0.8947368421052632,0.0,0.10526315789473684,0.8947368421052632,-0.9019046387623062,-0.2185820724463651,0.840284838075228
