method,horizon,relative_error,r2,simplex_violation,n_eval,task,n_clusters,omega,effective_subspace_dim
kahkm_nlms,50,0.7756226271722554,0.06403509349853997,0.006880570233211102,785,Acrobot-v1,100,4.0,6
kahkm_nlms,1,0.44704355617834945,0.5232318163550267,0.10374730696924854,1079,Acrobot-v1,100,6.0,6
kahkm_nlms,5,0.7169439233690216,0.23673959507238396,0.10144924803599573,1055,Acrobot-v1,100,6.0,6
kahkm_nlms,10,0.7971630367371443,0.1525058551922115,0.04717440272220569,1025,Acrobot-v1,100,6.0,6
kahkm_nlms,20,0.8627750718202126,0.0835044084309754,0.026658821278146293,965,Acrobot-v1,100,6.0,6
kahkm_nlms,50,0.9059171234139392,0.030615335650577502,0.009738939617740954,785,Acrobot-v1,100,6.0,6
kahkm_nlms,1,0.531302906339178,0.4469565309662017,0.12445630885206886,1079,Acrobot-v1,100,8.0,6
kahkm_nlms,5,0.792580992490868,0.17590955476232695,0.0863907124808775,1055,Acrobot-v1,100,8.0,6
kahkm_nlms,10,0.857475403957044,0.10916768906869057,0.03878503967771031,1025,Acrobot-v1,100,8.0,6
kahkm_nlms,20,0.9053871492758542,0.059844684421833994,0.02057161525891966,965,Acrobot-v1,100,8.0,6
kahkm_nlms,50,0.9352731159429729,0.023281490834566543,0.006992229475328942,785,Acrobot-v1,100,8.0,6
kahkm_nlms,1,0.578897344536027,0.4024254284965446,0.11864234414228486,1079,Acrobot-v1,100,10.0,6
kahkm_nlms,5,0.8281450385387072,0.1458581089584473,0.0653774455826342,1055,Acrobot-v1,100,10.0,6
kahkm_nlms,10,0.8842187098679323,0.08856327729043256,0.031014661436744344,1025,Acrobot-v1,100,10.0,6
kahkm_nlms,20,0.9231799236047744,0.04869504096885913,0.013013648681948937,965,Acrobot-v1,100,10.0,6
kahkm_nlms,50,0.9465630284714884,0.019580248923886212,0.0034397811583840067,785,Acrobot-v1,100,10.0,6
kahkm_nlms,1,0.6105800096071348,0.37217191881991984,0.09689100083318028,1079,Acrobot-v1,100,12.0,6
kahkm_nlms,5,0.8484351856107326,0.12821680261347557,0.04846026373840225,1055,Acrobot-v1,100,12.0,6
kahkm_nlms,10,0.8988627351050757,0.07684510629405805,0.02374105921449922,1025,Acrobot-v1,100,12.0,6
kahkm_nlms,20,0.9325206663814559,0.04250084421717426,0.006768954470783118,965,Acrobot-v1,100,12.0,6
kahkm_nlms,50,0.9523440253012703,0.01742259525679024,0.00144436910805248,785,Acrobot-v1,100,12.0,6
