experiment,status,seed,n_steps,dt,mu,train_fraction,n_train,n_test,state_dim,n_clusters,effective_regimes,subspace_dim,Nb,omega,tau,beta,nlms_epochs,train_closure_error,train_association_r2,test_closure_error,test_association_r2,raw_predicted_simplex_violation,projected_stochastic_simplex_violation,nlms_history_first,nlms_history_last,B_raw_spectral_radius,B_raw_min_entry,B_raw_max_entry,B_raw_row_sum_min,B_raw_row_sum_max,fit_seconds,eval_seconds,total_job_seconds,error_message
09_vanderpol_kahkm_sensitivity,ok,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,12.0,1e-06,0.1,20,0.006187335024013129,0.9931373744587937,0.005703347298634968,0.9935158000405653,0.031520373530552794,9.992007221626409e-16,0.006197965071852873,0.006187335024013129,1.0000000000000007,-0.06718719908314856,0.9945942261178972,0.9999999999999984,1.000000000000001,0.5352258682250977,0.03544020652770996,0.6054279804229736,
09_vanderpol_kahkm_sensitivity,ok,2,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,12.0,1e-06,0.1,20,0.006432436532638045,0.9928470264458557,0.0059974792215062,0.9932509908520482,0.03437017223083293,1.3322676295501878e-15,0.006446161280800768,0.006432436532638045,0.9999999999999999,-0.07046449752559374,0.9870752771679128,0.9999999999999986,1.0000000000000016,0.547518253326416,0.03550386428833008,0.6177341938018799,
09_vanderpol_kahkm_sensitivity,ok,0,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,16.0,1e-06,0.1,20,0.009653410087900091,0.9894163433464458,0.009417306922047624,0.9895145503800864,0.04153493451176734,1.1102230246251565e-15,0.009508225750905928,0.009653410087900091,1.0000000000000007,-0.05443852056501352,0.9807264405795032,0.999999999999999,1.0000000000000013,0.5399270057678223,0.0356600284576416,0.610253095626831,
09_vanderpol_kahkm_sensitivity,ok,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,16.0,1e-06,0.1,20,0.009261373493102522,0.9898433089821815,0.008493481378315331,0.990474878549188,0.041229425316331725,1.1102230246251565e-15,0.009133618434572853,0.009261373493102522,1.0,-0.05911647173537204,0.9980374107516066,0.9999999999999982,1.0000000000000013,0.5361847877502441,0.03537416458129883,0.6062889099121094,
09_vanderpol_kahkm_sensitivity,ok,2,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,16.0,1e-06,0.1,20,0.009290559252057514,0.9897796501535062,0.008799995652038891,0.9902155412880785,0.04516157195242354,1.1102230246251565e-15,0.009173154577815002,0.009290559252057514,1.0000000000000002,-0.05981231429618554,0.9852583120804295,0.9999999999999989,1.000000000000001,0.5457131862640381,0.03540515899658203,0.6156811714172363,
09_vanderpol_kahkm_sensitivity,ok,0,1600,0.02,1.0,0.75,1200,400,2,25,25,4,100,4.0,1e-06,0.1,20,0.0033701290278673247,0.9959945098480694,0.0034659684339467933,0.9957993525495716,0.020255582130817653,1.1102230246251565e-15,0.004723044604526016,0.0033701290278673247,1.000000000000002,-0.09334854423936823,1.0162098142641238,0.9999999999999953,1.0000000000000058,0.5290696620941162,0.0387420654296875,0.6022288799285889,
09_vanderpol_kahkm_sensitivity,ok,1,1600,0.02,1.0,0.75,1200,400,2,25,25,4,100,4.0,1e-06,0.1,20,0.0036561986347192874,0.9956498191887778,0.003419563693044159,0.9958578451959461,0.02166356451715526,1.2212453270876722e-15,0.0050426862819693335,0.0036561986347192874,1.0000000000000018,-0.09596583474445451,1.0150416456325255,0.9999999999999966,1.0000000000000036,0.530083179473877,0.039170026779174805,0.6043310165405273,
09_vanderpol_kahkm_sensitivity,ok,2,1600,0.02,1.0,0.75,1200,400,2,25,25,4,100,4.0,1e-06,0.1,20,0.003125766367985939,0.9962816163299644,0.0030278513832555053,0.9963196547658777,0.022440201418065474,1.1102230246251565e-15,0.004461312067008938,0.003125766367985939,1.0,-0.09897326343899158,1.0157818306621422,0.9999999999999939,1.0000000000000064,0.5332379341125488,0.039083003997802734,0.607036828994751,
09_vanderpol_kahkm_sensitivity,ok,0,1600,0.02,1.0,0.75,1200,400,2,25,25,4,100,8.0,1e-06,0.1,20,0.0033134437634850574,0.9963065509409879,0.0031999453044209364,0.9963793178715864,0.025044365957393348,1.5543122344752192e-15,0.00447149670378384,0.0033134437634850574,1.0000000000000004,-0.0829036405944097,1.006900258994113,0.9999999999999976,1.000000000000002,0.5397250652313232,0.038923025131225586,0.6131739616394043,
09_vanderpol_kahkm_sensitivity,ok,1,1600,0.02,1.0,0.75,1200,400,2,25,25,4,100,8.0,1e-06,0.1,20,0.0034517246158359514,0.9961487424592692,0.003140335641453488,0.9964481925887494,0.040090535192158015,1.3322676295501878e-15,0.00464944420535411,0.0034517246158359514,1.0000000000000007,-0.09635213486848761,1.0118227402488207,0.9999999999999984,1.0000000000000016,0.5376861095428467,0.03899097442626953,0.6111390590667725,
