n_clusters,omega,horizon,n_runs,relative_association_error_mean,relative_association_error_std,relative_association_error_min,relative_association_error_max,association_r2_mean,association_r2_std,simplex_violation_mean,simplex_violation_max
20,12.0,20,3,0.17100768406627162,0.009017794121135885,0.16100640996083038,0.17851859959200392,0.8083984248456128,0.01043311087996689,0.19546495537756603,0.21660333993657996
25,16.0,20,3,0.20001706552041001,0.016370156326546797,0.18814508904617389,0.2186917408602859,0.782299997304095,0.018053934733015076,0.1780792983657031,0.17971148099242737
15,12.0,20,3,0.23534363004447614,0.007568581088943256,0.22712313775534748,0.24202312697345052,0.7323197458269436,0.00833407692066593,0.1649767695137358,0.17423258313921786
10,8.0,20,3,0.2464880677309341,0.013104407758448981,0.23146835914871763,0.25558907515064677,0.7018250045130343,0.016513432384358453,0.15992868494204976,0.16384024318427348
20,16.0,20,3,0.2532164253442051,0.010252462523363369,0.2418813213455014,0.2618419413049498,0.7196265749828267,0.012394175144482818,0.1752578483186921,0.18777206853837086
15,16.0,20,3,0.31580530114559613,0.0104688231593693,0.30937093475577776,0.3278850717286967,0.6448314388104253,0.012550025646457868,0.1561641505459422,0.17012861150947511
10,12.0,20,3,0.3522356500295391,0.012859899230045397,0.337475990218478,0.3610266283692304,0.5832226583176466,0.01605484000691705,0.1137206235261506,0.11648473797317316
10,16.0,20,3,0.4187920258160413,0.013578871321502338,0.40321243390764316,0.42811250244946486,0.5096396798094918,0.01681440029044343,0.08716431864814016,0.0893710482267836
20,4.0,50,3,0.08355032125554995,0.003305974251858861,0.07998471132764529,0.08651392473553901,0.898658697778405,0.004033580808846962,0.0939617351953727,0.09674787530650235
25,4.0,50,3,0.09150367609227024,0.0028700454972574885,0.08958550776686142,0.09480319480071113,0.8915286775605981,0.0034077507078460116,0.09134241611497303,0.09778104449661512
15,4.0,50,3,0.09581849235432323,0.00571201094790945,0.09078424703735997,0.10202605531655082,0.881161945451645,0.006942783177893001,0.14281470352622275,0.15252532594606563
25,8.0,50,3,0.12324125802086731,0.007337444901650118,0.115833334985734,0.1305061330327367,0.862924902446994,0.008262797691104712,0.14088906182236496,0.15766420754982297
10,4.0,50,3,0.16274800469360529,0.007231019619830433,0.15492115204129833,0.16917994802618921,0.7907827845216554,0.009495233039377667,0.14021749059962765,0.14091070248510149
20,8.0,50,3,0.16430804488774195,0.0038541165832667516,0.16026549403014145,0.16794101245842194,0.814084730266262,0.0037776920184544724,0.14760658697966875,0.15096404668897945
25,12.0,50,3,0.20930193518494333,0.015480996682530238,0.1986487614820484,0.2270600817062984,0.7715861791981777,0.0170645640375757,0.15685266639036252,0.17491616608379357
