experiment,seed,n_steps,dt,mu,n_clusters,effective_regimes,omega,tau,beta,nlms_epochs,horizon,n_start_points,relative_association_error,association_r2,simplex_violation
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,12.0,1e-06,0.1,20,2,399,0.02215905710122148,0.9734594567430039,0.03906394490922632
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,12.0,1e-06,0.1,20,5,396,0.1024939408971175,0.8773962540204281,0.07469674230669941
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,12.0,1e-06,0.1,20,10,391,0.24349025216148168,0.7094406398591491,0.0925678723100679
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,12.0,1e-06,0.1,20,20,381,0.3610266283692304,0.571871392773921,0.11212094554336924
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,12.0,1e-06,0.1,20,50,351,0.4914378845650199,0.4253543461644659,0.046345283494714125
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,12.0,1e-06,0.1,20,100,301,0.5928550411410015,0.29247536330131263,0.031194854991466417
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,12.0,1e-06,0.1,20,200,201,0.7329962345630804,0.06172214751388705,0.014357445085358063
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,12.0,1e-06,0.1,20,1,400,0.0058489710974982895,0.9930214317777574,0.021640211486385137
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,12.0,1e-06,0.1,20,2,399,0.021381763714667542,0.9744997583185274,0.03988127621805074
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,12.0,1e-06,0.1,20,5,396,0.09901779880186592,0.8820725798394189,0.07654068026022937
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,12.0,1e-06,0.1,20,10,391,0.23433246064438026,0.7216715601329424,0.09608410109733896
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,12.0,1e-06,0.1,20,20,381,0.337475990218478,0.6015915753597278,0.11648473797317316
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,12.0,1e-06,0.1,20,50,351,0.45862969156417244,0.4646832110694896,0.05127246656291964
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,12.0,1e-06,0.1,20,100,301,0.5642430949628411,0.32693795888977606,0.03115638508168558
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,12.0,1e-06,0.1,20,200,201,0.7110778221506283,0.09767101397699962,0.010549717857877769
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,16.0,1e-06,0.1,20,1,400,0.008021982551537086,0.9905202595210997,0.017944914470096055
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,16.0,1e-06,0.1,20,2,399,0.029005380194511012,0.9657348733974129,0.032318746380636545
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,16.0,1e-06,0.1,20,5,396,0.1286276056808111,0.8482051231781649,0.056999456406877196
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,16.0,1e-06,0.1,20,10,391,0.2911944549562253,0.6570818510694596,0.0741629667806539
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,16.0,1e-06,0.1,20,20,381,0.4250511410910157,0.5024005036335324,0.08605756021635529
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,16.0,1e-06,0.1,20,50,351,0.5832948028846188,0.32522961715096455,0.033595225039808524
