system,seed,noise_level,n_steps,train_fraction,n_train,n_test,n_clusters,omega,tau,train_closure_error_noisy_train,train_association_r2_noisy_train,clean_test_closure_error,clean_test_association_r2,clean_test_simplex_violation,fit_seconds
duffing,2,0.01,1600,0.75,1200,400,15,12.0,1e-06,0.0002304224628769944,0.9985935837695451,5.815011305926623e-07,0.9900099634735725,7.70167739334751e-06,0.5488119125366211
duffing,2,0.02,1600,0.75,1200,400,15,12.0,1e-06,0.00034073143222069434,0.9979530353761453,1.110573948456879e-06,0.9801030370707808,5.32225284467208e-06,0.5561048984527588
duffing,2,0.05,1600,0.75,1200,400,15,12.0,1e-06,0.0011676026976808758,0.9927423424335209,9.756713360075196e-06,0.8282244530605407,1.5902909991052324e-05,0.5511860847473145
vanderpol,0,0.0,1600,0.75,1200,400,20,4.0,1e-06,0.0018778350818338364,0.9977227736033206,0.0017910268988048164,0.9977712695316271,0.020826889026260963,0.5379650592803955
vanderpol,0,0.005,1600,0.75,1200,400,20,4.0,1e-06,0.002457814047704908,0.9969948811863684,0.0009776587409613545,0.9987767875226056,0.014864844376408797,0.5458500385284424
vanderpol,0,0.01,1600,0.75,1200,400,20,4.0,1e-06,0.002708398765231453,0.9966621760946927,0.0008093408100587705,0.9989751301375787,0.005491677268743261,0.5754449367523193
vanderpol,0,0.02,1600,0.75,1200,400,20,4.0,1e-06,0.004412912837831231,0.9945318600470264,0.0006098233352673897,0.9992269867907437,0.0004650399123746864,0.5804800987243652
vanderpol,0,0.05,1600,0.75,1200,400,20,4.0,1e-06,0.017296627672047673,0.9785594756635715,0.0013966600168189385,0.9982179929549782,0.000219226041874202,0.5513360500335693
vanderpol,1,0.0,1600,0.75,1200,400,20,4.0,1e-06,0.0017329172905895362,0.9978926246153298,0.0014896559613020658,0.9981221637968385,0.019124350830139736,0.5369539260864258
vanderpol,1,0.005,1600,0.75,1200,400,20,4.0,1e-06,0.0018384053893568792,0.9977423352228459,0.0008528885504657172,0.9989151984422568,0.014394151462423092,0.5427069664001465
vanderpol,1,0.01,1600,0.75,1200,400,20,4.0,1e-06,0.0021065686372468673,0.9973982388587076,0.0006430579227685557,0.999176513440226,0.008057254596189662,0.5418500900268555
vanderpol,1,0.02,1600,0.75,1200,400,20,4.0,1e-06,0.004384369107290198,0.9945805995214513,0.0006863832366599961,0.999135248259424,0.0009124629834864053,0.5396192073822021
vanderpol,1,0.05,1600,0.75,1200,400,20,4.0,1e-06,0.018303570735183416,0.9774507473679405,0.0014226306597322918,0.9981684791135923,0.0019475730337766982,0.5427229404449463
vanderpol,2,0.0,1600,0.75,1200,400,20,4.0,1e-06,0.0026614042466218788,0.9967678102955714,0.0023862199668524147,0.9970469417875345,0.018751673699561055,0.5556442737579346
vanderpol,2,0.005,1600,0.75,1200,400,20,4.0,1e-06,0.001964053137431658,0.9975957094323353,0.0007963756659107723,0.998998980603557,0.012789049745128586,0.5489380359649658
vanderpol,2,0.01,1600,0.75,1200,400,20,4.0,1e-06,0.002473900634013722,0.9969426127760856,0.0006965224760347068,0.9991197915829635,0.0073606103085936,0.5431437492370605
vanderpol,2,0.02,1600,0.75,1200,400,20,4.0,1e-06,0.004040910929284845,0.9949798246094765,0.0007203600735277471,0.9990817463719772,0.0009288947912979039,0.5381412506103516
vanderpol,2,0.05,1600,0.75,1200,400,20,4.0,1e-06,0.01730664018852856,0.9784648684983165,0.0013009267463193993,0.9983266347814433,0.00018457724528351407,0.5491728782653809
