system,noise_level,horizon,n_runs,relative_association_error_mean,relative_association_error_std,relative_association_error_min,relative_association_error_max,association_r2_mean,association_r2_std,simplex_violation_mean,simplex_violation_max
vanderpol,0.005,10,3,0.017096843486367627,0.002542395046593335,0.015371399465803699,0.020016481822577183,0.9785952651005337,0.003045312513506098,0.0731019180170268,0.08601661456698911
vanderpol,0.005,50,3,0.08746136631727726,0.008070968185653773,0.07877421689529696,0.09472737214704093,0.8929856355961391,0.009778640307298766,0.09517823948511371,0.1252743832660637
vanderpol,0.005,100,3,0.17376027842685846,0.00945838047112206,0.16483715483672706,0.1836756792535544,0.7832143971101836,0.011460536848741851,0.08226605093827236,0.09233321553571103
vanderpol,0.005,200,3,0.18297245879224963,0.0021191826196110338,0.18055711468729657,0.18452001261279097,0.7508052838436973,0.0003554368306862629,0.049081783243017374,0.05646365167472519
vanderpol,0.01,1,3,0.0007163070696206776,8.488858733018293e-05,0.0006430579227685557,0.0008093408100587705,0.9990904783869228,0.00010384245876748745,0.006969847391175507,0.008057254596189662
vanderpol,0.01,10,3,0.018674806815267023,0.0019184257137266345,0.01676673392624564,0.02060342040229838,0.9764154549117228,0.0024353146755851994,0.07899278693262303,0.09878941013394094
vanderpol,0.01,50,3,0.10400549681932396,0.0042814152177797484,0.0999788465631767,0.10850278693367213,0.8718107988503506,0.0052748595794616295,0.07456159749996659,0.0903365818987308
vanderpol,0.01,100,3,0.1850334881742418,0.0043358857562160675,0.18240898968982508,0.19003815005183208,0.7671592320045181,0.0056690616192078954,0.06942018327608147,0.07877396285234364
vanderpol,0.01,200,3,0.20092778588888496,0.007591697452857135,0.19220745745309342,0.2060630463554244,0.7230607031230548,0.01182845511449986,0.0293372134818637,0.04882541431957863
vanderpol,0.02,1,3,0.0006721888818183776,5.661892270554981e-05,0.0006098233352673897,0.0007203600735277471,0.9991479938073816,7.34542820768359e-05,0.0007687992290529985,0.0009288947912979039
vanderpol,0.02,10,3,0.02204990391499631,0.003520361167526781,0.018635876096677332,0.025667743114871473,0.9721804753509847,0.004533606063584199,0.05857942487042326,0.07409262729022914
vanderpol,0.02,50,3,0.14863309144287676,0.030089591631051453,0.12102572732331808,0.1807058350357787,0.8163302318383588,0.03765717704943577,0.05774205564123835,0.08243024129417226
vanderpol,0.02,100,3,0.27566208602581255,0.07077511593860525,0.2073412946750337,0.34865956627285233,0.6520386786562323,0.09032029867928064,0.05483048643714477,0.08956033616560549
vanderpol,0.02,200,3,0.3702336939070949,0.11849567894830124,0.2553773921810738,0.49206097826415784,0.49276131848177646,0.16596411556949706,0.021983300722239654,0.04394192058364627
vanderpol,0.05,1,3,0.0013734058076235432,6.409781056308099e-05,0.0013009267463193993,0.0014226306597322918,0.9982377022833379,8.089899280366725e-05,0.000783792106978138,0.0019475730337766982
vanderpol,0.05,10,3,0.05719856089111167,0.001213774222247913,0.056070245614704674,0.0584827368210019,0.9270838818733497,0.0012547020003947527,0.05054208507310503,0.058786997296032886
vanderpol,0.05,50,3,0.37442405315683014,0.04459093813547244,0.3230170639503669,0.40264605115423435,0.5359163749326336,0.05596736177464047,0.044113743064007595,0.05937962348120088
vanderpol,0.05,100,3,0.5921181342418683,0.07729390239022063,0.5388540736588987,0.6807707436532651,0.25078510761176426,0.101405490675879,0.033636593944229964,0.05443498997605436
vanderpol,0.05,200,3,0.704581122243431,0.11389989017714638,0.5875208205011229,0.815032841844409,0.011481567527118819,0.1579249661795256,0.012572193706938588,0.01963271926164982
