system,seed,noise_level,horizon,n_eval_starts,relative_association_error,association_r2,simplex_violation
vanderpol,1,0.005,50,351,0.0888825099094939,0.8906739366904234,0.07502882711599111
vanderpol,1,0.005,100,301,0.1727680011902939,0.7838102763101591,0.07168342226598105
vanderpol,1,0.005,200,201,0.18055711468729657,0.7511242895951376,0.04472878840958551
vanderpol,1,0.01,1,400,0.0006430579227685557,0.999176513440226,0.008057254596189662
vanderpol,1,0.01,10,391,0.018654266117257044,0.9762642243497592,0.08784564289780242
vanderpol,1,0.01,50,351,0.10353485696112301,0.8718587580684631,0.0903365818987308
vanderpol,1,0.01,100,301,0.19003815005183208,0.7606148799570154,0.07084040384132158
vanderpol,1,0.01,200,201,0.20451285385813708,0.7160739313983684,0.016823820140024048
vanderpol,1,0.02,1,400,0.0006863832366599961,0.999135248259424,0.0009124629834864053
vanderpol,1,0.02,10,391,0.021846092533440123,0.9725867112054076,0.05589841348351644
vanderpol,1,0.02,50,351,0.14416771196953354,0.8223894822497857,0.08243024129417226
vanderpol,1,0.02,100,301,0.27098539712955166,0.6595363926297655,0.08956033616560549
vanderpol,1,0.02,200,201,0.3632627112760529,0.5077022061681553,0.004644881617168362
vanderpol,1,0.05,1,400,0.0014226306597322918,0.9981684791135923,0.0019475730337766982
vanderpol,1,0.05,10,391,0.056070245614704674,0.9283434543691609,0.05451745874267271
vanderpol,1,0.05,50,351,0.3230170639503669,0.600326308937467,0.05937962348120088
vanderpol,1,0.05,100,301,0.5388540736588987,0.32212644826960424,0.05443498997605436
vanderpol,1,0.05,200,201,0.5875208205011229,0.1711730068478554,0.018083861859153956
vanderpol,2,0.0,1,400,0.0023862199668524147,0.9970469417875345,0.018751673699561055
vanderpol,2,0.0,10,391,0.01668557595682394,0.9794575648888072,0.06957870027735476
vanderpol,2,0.0,50,351,0.08651392473553901,0.8954601386765271,0.08904649832611769
vanderpol,2,0.0,100,301,0.16928587664026043,0.7905170763147924,0.0729907017774943
vanderpol,2,0.0,200,201,0.21661740012219716,0.7097924862201817,0.05065815213945476
vanderpol,2,0.005,1,400,0.0007963756659107723,0.998998980603557,0.012789049745128586
vanderpol,2,0.005,10,391,0.015902649170721997,0.9801251901637181,0.05952651828541723
vanderpol,2,0.005,50,351,0.07877421689529696,0.9037129970709562,0.08523150807328632
vanderpol,2,0.005,100,301,0.16483715483672706,0.794365370159249,0.082781515013125
vanderpol,2,0.005,200,201,0.18452001261279097,0.75042214770006,0.05646365167472519
vanderpol,2,0.01,1,400,0.0006965224760347068,0.9991197915829635,0.0073606103085936
vanderpol,2,0.01,10,391,0.01676673392624564,0.9789228605942332,0.05034330776612574
vanderpol,2,0.01,50,351,0.10850278693367213,0.8665121231819857,0.07028777988567182
vanderpol,2,0.01,100,301,0.18240898968982508,0.7703015933482965,0.07877396285234364
vanderpol,2,0.01,200,201,0.19220745745309342,0.7367178046468124,0.04882541431957863
vanderpol,2,0.02,1,400,0.0007203600735277471,0.9990817463719772,0.0009288947912979039
vanderpol,2,0.02,10,391,0.025667743114871473,0.9674574223288075,0.07409262729022914
vanderpol,2,0.02,50,351,0.1807058350357787,0.7760108346211236,0.04342849008189343
vanderpol,2,0.02,100,301,0.34865956627285233,0.5582032268431945,0.03742557180404673
vanderpol,2,0.02,200,201,0.49206097826415784,0.3198319218342053,0.04394192058364627
vanderpol,2,0.05,1,400,0.0013009267463193993,0.9983266347814433,0.00018457724528351407
vanderpol,2,0.05,10,391,0.05704270023762843,0.9270740834927784,0.03832179918060948
vanderpol,2,0.05,50,351,0.40264605115423435,0.4991434888051406,0.021765085021926957
vanderpol,2,0.05,100,301,0.6807707436532651,0.13470372049663282,0.0030221793709733504
vanderpol,2,0.05,200,201,0.815032841844409,-0.14461556588117896,1.199040866595169e-14
