experiment,run_index,total_runs,n_steps,dt,data_seed,random_state,train_fraction,n_train,n_test,state_dim,n_clusters,subspace_dim,Nb,omega,tau,beta,nlms_epochs,kmeans_kind,batch_size,n_jobs,status,effective_regimes,train_closure_error,train_association_r2,test_closure_error,test_association_r2,raw_predicted_simplex_violation,projected_stochastic_simplex_violation,fit_seconds,eval_seconds,total_seconds,final_nlms_train_error,nlms_history_first,nlms_history_last,nlms_history_monotone_nonincreasing,B_raw_fro_norm,B_raw_spectral_radius,B_raw_min_entry,B_raw_max_entry,B_raw_row_sum_min,B_raw_row_sum_max,B_stochastic_fro_norm,B_stochastic_spectral_radius,B_stochastic_min_entry,B_stochastic_max_entry,B_stochastic_row_sum_min,B_stochastic_row_sum_max
02_duffing_kahkm_sensitivity,11,27,1200,0.03,1,1,0.75,900,300,2,25,4,100,4.0,1e-06,0.1,20,auto,256,-1,ok,25,0.0029783099545505273,0.975349809898924,0.0007924739098704874,0.9445480266212439,6.661338147750939e-16,5.551115123125783e-16,0.42748093605041504,0.020982027053833008,0.4484851360321045,0.0029783099545505273,0.0031240583272783597,0.0029783099545505273,True,4.970151565656294,1.0000000000000016,-0.01928986119737973,0.9998403644115476,0.9999999999999919,1.0000000000000087,4.956624406722915,0.9999999999999994,0.0,0.9989687633760895,0.9999999999999998,1.0000000000000004
02_duffing_kahkm_sensitivity,12,27,1200,0.03,1,2,0.75,900,300,2,25,4,100,4.0,1e-06,0.1,20,auto,256,-1,ok,25,0.0048193163544860826,0.9707691107789325,0.00023207255741139365,0.9573757237042981,8.881784197001252e-16,6.661338147750939e-16,0.4354588985443115,0.021233081817626953,0.45671510696411133,0.0048193163544860826,0.00502085000110114,0.0048193163544860826,True,4.952590161248529,0.9999999999999997,-0.010302175384515899,0.9998790952898831,0.9999999999999923,1.0000000000000095,4.939733131857118,0.9999999999999997,0.0,0.9986242870650305,0.9999999999999994,1.0000000000000002
02_duffing_kahkm_sensitivity,13,27,1200,0.03,1,0,0.75,900,300,2,25,4,100,8.0,1e-06,0.1,20,auto,256,-1,ok,25,0.0016331071856808437,0.9900212950560018,6.336379221532307e-07,0.998800146070208,9.87912862325356e-06,6.661338147750939e-16,0.4201021194458008,0.021136999130249023,0.44126391410827637,0.0016331071856808437,0.0018185885807481602,0.0016331071856808437,True,4.980220892659222,1.000000000000001,-0.015601702136845174,1.000292599762707,0.9999999999999921,1.0000000000000087,4.961172685461082,0.9999999999999979,0.0,0.9993398609014654,0.9999999999999998,1.0000000000000002
02_duffing_kahkm_sensitivity,14,27,1200,0.03,1,1,0.75,900,300,2,25,4,100,8.0,1e-06,0.1,20,auto,256,-1,ok,25,0.0020337566790852475,0.9889871225873625,0.00045931880031314953,0.948084273595451,0.00010201918533903157,6.661338147750939e-16,0.42578887939453125,0.020889997482299805,0.44670796394348145,0.0020337566790852475,0.0022405368398498255,0.0020337566790852475,True,4.973633569407044,0.9999999999999976,-0.016470708951887694,1.000102995824173,0.9999999999999923,1.0000000000000067,4.952876557308101,1.0000000000000002,0.0,0.9988233387652247,0.9999999999999998,1.0000000000000002
02_duffing_kahkm_sensitivity,15,27,1200,0.03,1,2,0.75,900,300,2,25,4,100,8.0,1e-06,0.1,20,auto,256,-1,ok,25,0.0033909076300198877,0.9845958078864994,0.00013117438673791352,0.9645270451672792,0.00018233468782205174,8.881784197001252e-16,0.43609189987182617,0.021171092987060547,0.457287073135376,0.0033909076300198877,0.003626217798247698,0.0033909076300198877,True,4.958596749301479,1.0000000000000013,-0.014527184590735829,1.0001083115265086,0.9999999999999912,1.0000000000000133,4.939006260197011,0.9999999999999991,0.0,0.9982950661517602,0.9999999999999998,1.0000000000000004
02_duffing_kahkm_sensitivity,16,27,1200,0.03,1,0,0.75,900,300,2,25,4,100,12.0,1e-06,0.1,20,auto,256,-1,ok,25,0.0010788315375832528,0.995665244554438,1.1313592706036034e-06,0.9989625468626057,9.838263640463053e-05,4.440892098500626e-16,0.43797993659973145,0.021180152893066406,0.4591841697692871,0.0010788315375832528,0.0013901728269704865,0.0010788315375832528,True,4.9804123740435715,1.0000000000000016,-0.026140392946067934,1.002261298338168,0.9999999999999939,1.000000000000009,4.952332593665386,1.0000000000000002,0.0,0.9988660549891843,0.9999999999999998,1.0000000000000002
02_duffing_kahkm_sensitivity,17,27,1200,0.03,1,1,0.75,900,300,2,25,4,100,12.0,1e-06,0.1,20,auto,256,-1,ok,25,0.0012725856142630514,0.9951351292329729,0.00022318307581879542,0.9570069701180575,0.0001713412325070044,6.661338147750939e-16,0.4259157180786133,0.021732091903686523,0.4476768970489502,0.0012725856142630514,0.0015970227849804097,0.0012725856142630514,True,4.975829339579781,0.9999999999999998,-0.02649367727157379,1.0001148586554685,0.9999999999999933,1.0000000000000069,4.945299614818612,1.000000000000001,0.0,0.9979484517032993,0.9999999999999998,1.0000000000000002
02_duffing_kahkm_sensitivity,18,27,1200,0.03,1,2,0.75,900,300,2,25,4,100,12.0,1e-06,0.1,20,auto,256,-1,ok,25,0.0021766130740556496,0.9924223958458018,6.295204501871937e-05,0.9767645654885975,0.00034470658989325107,7.771561172376096e-16,0.4361410140991211,0.021227121353149414,0.45739006996154785,0.0021766130740556496,0.0024877889054624293,0.0021766130740556496,True,4.964754319511204,0.9999999999999993,-0.025871883179242036,0.9999866305638089,0.9999999999999913,1.000000000000007,4.936990897162973,1.0000000000000004,0.0,0.9979673649497453,0.9999999999999998,1.0000000000000002
02_duffing_kahkm_sensitivity,19,27,1200,0.03,1,0,0.75,900,300,2,35,4,100,4.0,1e-06,0.1,20,auto,256,-1,ok,35,0.00665243385362606,0.9667815060156945,0.001081273272395052,0.9426408113791368,8.881784197001252e-16,8.881784197001252e-16,0.4387068748474121,0.025768041610717773,0.46450090408325195,0.00665243385362606,0.006947175094001235,0.00665243385362606,True,5.864196943345146,0.9999999999999989,-0.011916876954185647,0.9995154968762011,0.9999999999999912,1.00000000000001,5.847270281926731,0.9999999999999984,0.0,0.9986359765353408,0.9999999999999997,1.0000000000000002
02_duffing_kahkm_sensitivity,20,27,1200,0.03,1,1,0.75,900,300,2,35,4,100,4.0,1e-06,0.1,20,auto,256,-1,ok,35,0.008174632318033316,0.9644247201902324,0.0006747069562876735,0.915530802607356,1.1102230246251565e-15,9.992007221626409e-16,0.43534088134765625,0.02569413185119629,0.4610581398010254,0.008174632318033316,0.008534220308819033,0.008174632318033316,True,5.852619369166454,1.000000000000001,-0.01287526001627685,0.9993285182230002,0.999999999999992,1.00000000000001,5.835651898963638,1.0000000000000007,0.0,0.9984889201163847,0.9999999999999996,1.0000000000000002
