n_clusters,omega,n_runs,train_closure_error_mean,train_closure_error_std,test_closure_error_mean,test_closure_error_std,test_closure_error_min,test_closure_error_max,test_association_r2_mean,test_association_r2_std,test_association_r2_min,raw_predicted_simplex_violation_mean,raw_predicted_simplex_violation_max,target_association_variation_mean,target_association_variation_std,target_normalized_association_variation_mean,target_normalized_association_variation_std,target_association_effective_rank_mean,target_association_effective_rank_std,target_normalized_association_effective_rank_mean,target_normalized_association_effective_rank_std
20,4.0,3,0.002090718873015084,0.000499511399560938,0.0018889676089864323,0.00045623572968946763,0.0014896559613020658,0.0023862199668524147,0.9976467917053333,0.0005483125379307279,0.9970469417875345,0.019567637851987254,0.020826889026260963,0.25484665860909034,0.004899248034045543,0.27198735830540666,0.00476130056330269,10.416597889244649,0.2333039514487348,0.548241994170771,0.012279155339407133
15,2.0,3,0.0020000450195796146,0.00020492094302676807,0.0019257643865806435,0.00018124580213850722,0.0017252647160213481,0.002077975287785091,0.9966008276323683,0.000295752327974905,0.9963750633429249,1.2582527612418441e-15,1.3322676295501878e-15,nan,nan,nan,nan,nan,nan,nan,nan
15,6.0,3,0.0020970031267840846,0.0002966280307947712,0.0019418666124863336,0.00028826911845099507,0.0016121287416826955,0.0021461536537651007,0.997662562809649,0.0003333468076343479,0.9974411102908942,0.02238305252291146,0.02350332746584102,nan,nan,nan,nan,nan,nan,nan,nan
25,6.0,3,0.0024633073317869084,0.00025917684534062087,0.0023660762728916584,0.0002107172302977089,0.002126984431874069,0.0025247127269533796,0.9972656392487093,0.00023843788165839308,0.997084784246711,0.033377597660373286,0.04223189827730334,0.3359327008435351,0.0031322053845517913,0.354489274725765,0.003768009210585705,14.261084877525477,0.11340772270033128,0.5942118698968949,0.004725321779180474
10,6.0,3,0.002544966887445987,4.506274978482748e-05,0.002547461456177055,4.724108704930817e-05,0.0025017219395952507,0.0025960730631340388,0.9968057268785911,6.868181974669678e-05,0.9967360595695006,0.020095524640563456,0.02111146313887212,nan,nan,nan,nan,nan,nan,nan,nan
25,1.0,3,0.0028126085406565467,0.00011798840010156396,0.0026264843895781875,3.7553055949230123e-05,0.002583287448354476,0.0026513616119056256,0.9869951976676742,0.0004786364362336991,0.9866588974771425,1.1102230246251565e-15,1.3322676295501878e-15,nan,nan,nan,nan,nan,nan,nan,nan
30,6.0,3,0.002940338764121754,3.890933337799509e-05,0.00273289307053578,0.00011574302438783909,0.0025995297354087818,0.002807132074091342,0.9968701875700727,0.00012174882835848027,0.9967916018769486,0.03429279868435721,0.04212877008521171,0.3075013492032153,0.0015544541884576265,0.3218918718849171,0.002100149679207831,15.582313804978233,0.1867529946954425,0.5373211656889046,0.00643975843777386
20,8.0,3,0.0031818099901953184,0.00028075748494690313,0.0029635221666520755,0.00028442731690070643,0.0026424314836855064,0.0031838544513870565,0.9965718876787942,0.00030826483131647463,0.9963256319216008,0.02515586442008981,0.02580351585700073,nan,nan,nan,nan,nan,nan,nan,nan
30,8.0,3,0.003319305058906147,1.963195974702816e-05,0.0031054277408075898,1.0454423405506797e-05,0.0030967594078677866,0.003117037893243335,0.9965102295041662,8.942526868496861e-06,0.9965030596530151,0.03949714503311165,0.05013130350438755,nan,nan,nan,nan,nan,nan,nan,nan
25,8.0,3,0.0032721770531691226,0.00020334602503221572,0.0031097593164656156,0.00010874732249722583,0.0029889970035224213,0.0031999453044209364,0.9964783827372731,0.00011711565091786755,0.9963793178715864,0.03849304665103981,0.05034423880356806,nan,nan,nan,nan,nan,nan,nan,nan
20,2.0,3,0.003437336646360085,0.00031621817945575966,0.003148494692544534,0.0003569756046450136,0.002807492180796187,0.003519544066205093,0.9945262333686763,0.0005685167574640381,0.9939301299165187,1.5173048003210472e-15,2.1094237467877974e-15,nan,nan,nan,nan,nan,nan,nan,nan
