experiment,seed,n_steps,dt,mu,n_clusters,effective_regimes,omega,tau,beta,nlms_epochs,horizon,n_start_points,relative_association_error,association_r2,simplex_violation
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,12.0,1e-06,0.1,20,1,400,0.00602203232980252,0.992801346587262,0.02075078231371817
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,12.0,1e-06,0.1,20,10,391,0.24272122133860632,0.711052822077965,0.09273906326402324
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,12.0,1e-06,0.1,20,50,351,0.4866874765275019,0.43138264741592913,0.04654963856108683
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,12.0,1e-06,0.1,20,100,301,0.5884461938572527,0.2973687378874006,0.03136059616029176
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,12.0,1e-06,0.1,20,200,201,0.7310010126309388,0.06698711669122837,0.015088545548660008
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,12.0,1e-06,0.1,20,1,400,0.006060673613904408,0.9927380150347895,0.02121699091741126
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,12.0,1e-06,0.1,20,10,391,0.24349025216148168,0.7094406398591491,0.0925678723100679
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,12.0,1e-06,0.1,20,50,351,0.4914378845650199,0.4253543461644659,0.046345283494714125
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,12.0,1e-06,0.1,20,100,301,0.5928550411410015,0.29247536330131263,0.031194854991466417
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,12.0,1e-06,0.1,20,200,201,0.7329962345630804,0.06172214751388705,0.014357445085358063
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,12.0,1e-06,0.1,20,1,400,0.0058489710974982895,0.9930214317777574,0.021640211486385137
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,12.0,1e-06,0.1,20,10,391,0.23433246064438026,0.7216715601329424,0.09608410109733896
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,12.0,1e-06,0.1,20,50,351,0.45862969156417244,0.4646832110694896,0.05127246656291964
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,12.0,1e-06,0.1,20,100,301,0.5642430949628411,0.32693795888977606,0.03115638508168558
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,12.0,1e-06,0.1,20,200,201,0.7110778221506283,0.09767101397699962,0.010549717857877769
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,15,15,0.5,1e-06,0.1,20,1,400,0.00046304958165761974,0.9911860545812224,6.661338147750939e-16
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,15,15,0.5,1e-06,0.1,20,10,391,0.0059151242867437285,0.8879231900814496,5.551115123125783e-15
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,15,15,0.5,1e-06,0.1,20,50,351,0.029433609220691354,0.4570167752883689,2.1538326677728037e-14
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,15,15,0.5,1e-06,0.1,20,100,301,0.03223373401199756,0.3778075845200015,3.064215547965432e-14
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,15,15,0.5,1e-06,0.1,20,200,201,0.03344388687480658,0.28620682070569947,2.5202062658991053e-14
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,15,15,0.5,1e-06,0.1,20,1,400,0.00043002386223563985,0.9918934364351689,7.771561172376096e-16
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,15,15,0.5,1e-06,0.1,20,10,391,0.005261539162613161,0.9014486172261029,4.551914400963142e-15
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,15,15,0.5,1e-06,0.1,20,50,351,0.027026269385128688,0.5136592805326383,2.142730437526552e-14
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,15,15,0.5,1e-06,0.1,20,100,301,0.03176012283296021,0.40199469447818936,3.4083846855992306e-14
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,15,15,0.5,1e-06,0.1,20,200,201,0.029709939920040396,0.3380160738046686,3.708144902248023e-14
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,15,15,0.5,1e-06,0.1,20,1,400,0.00041179241341202257,0.9920034702400744,6.661338147750939e-16
