n_clusters,omega,noise_level,horizon,n_runs,relative_association_error_mean,relative_association_error_std,relative_association_error_min,relative_association_error_max,association_r2_mean,association_r2_std,simplex_violation_mean,simplex_violation_max,target_normalized_association_variation_mean,target_normalized_association_variation_std,target_association_effective_rank_mean,target_association_effective_rank_std,target_normalized_association_effective_rank_mean,target_normalized_association_effective_rank_std,fit_seconds_mean
25,4.0,0.01,1,3,0.000730713872849637,3.342567238122845e-05,0.0006837171894241946,0.0007586164365665702,0.9990874458261888,4.072598012678124e-05,0.00579557025651563,0.007539206023850057,0.2073708294339388,0.0027215792241504964,11.4415304536854,0.08155000909151948,0.47673043557022504,0.0033979170454799708,0.15456938743591309
25,4.0,0.01,10,3,0.01758986136035156,0.00044491898243439646,0.01696872673184508,0.017987452702024117,0.9781422829723455,0.0005234857835585534,0.06490296103111431,0.08400458682081205,0.2073708294339388,0.0027215792241504964,11.4415304536854,0.08155000909151948,0.47673043557022504,0.0033979170454799708,0.15456938743591309
25,4.0,0.01,50,3,0.09626438426649413,0.00850317375852674,0.08430334882954782,0.10332015516847,0.8828649448568933,0.010309722711279666,0.06523984712359593,0.07125447581330659,0.2073708294339388,0.0027215792241504964,11.4415304536854,0.08155000909151948,0.47673043557022504,0.0033979170454799708,0.15456938743591309
25,4.0,0.01,100,3,0.18440878125726456,0.011871252076637976,0.16839490335846055,0.19678112107969867,0.7710346214603024,0.014985980571571836,0.05527564795977439,0.06843056013861883,0.2073708294339388,0.0027215792241504964,11.4415304536854,0.08155000909151948,0.47673043557022504,0.0033979170454799708,0.15456938743591309
25,4.0,0.01,200,3,0.23176984509235235,0.022961258735658675,0.21093453449018654,0.26375707336492105,0.6888421841068924,0.030881096064889063,0.031582211713961375,0.052332320967066755,0.2073708294339388,0.0027215792241504964,11.4415304536854,0.08155000909151948,0.47673043557022504,0.0033979170454799708,0.15456938743591309
25,4.0,0.02,1,3,0.0006809276018541579,5.670208624941661e-05,0.0006254540087427511,0.0007588111852265356,0.9991457548199473,7.386563418687393e-05,0.0012751688839234476,0.0021201156423843914,0.19805752971323587,0.0016293459305000732,11.302451281403048,0.08417713741381135,0.4709354700584603,0.003507380725575466,0.15189528465270996
25,4.0,0.02,10,3,0.021158140694657646,0.001290486130569505,0.019967984653078707,0.022951416581956752,0.9735865626307169,0.001685833750392975,0.04628587640788167,0.059207375497617336,0.19805752971323587,0.0016293459305000732,11.302451281403048,0.08417713741381135,0.4709354700584603,0.003507380725575466,0.15189528465270996
25,4.0,0.02,50,3,0.12539422944280532,0.015740456626941863,0.10707041819427128,0.1455024320771589,0.8466246022689027,0.019339179394598185,0.05751405852933373,0.07251085720389829,0.19805752971323587,0.0016293459305000732,11.302451281403048,0.08417713741381135,0.4709354700584603,0.003507380725575466,0.15189528465270996
25,4.0,0.02,100,3,0.22447597953412166,0.017817431759548946,0.20622651092084526,0.24864760665153826,0.7195424904562167,0.022444008237646012,0.03623285373062327,0.040307278910395594,0.19805752971323587,0.0016293459305000732,11.302451281403048,0.08417713741381135,0.4709354700584603,0.003507380725575466,0.15189528465270996
25,4.0,0.02,200,3,0.298487366019618,0.044338491298537175,0.24284485316369522,0.35134431273673533,0.5956468718561853,0.06218427410854376,0.008570545280244292,0.011064147207198203,0.19805752971323587,0.0016293459305000732,11.302451281403048,0.08417713741381135,0.4709354700584603,0.003507380725575466,0.15189528465270996
