n_clusters,omega,noise_level,seed,horizon,n_eval_starts,relative_association_error,association_r2,simplex_violation,target_association_variation,target_max_variation_given_mean,target_normalized_association_variation,target_association_effective_rank,target_normalized_association_effective_rank,train_closure_error_noisy_train,train_association_r2_noisy_train,fit_seconds
25,4.0,0.01,2,200,201,0.26375707336492105,0.6455430673546665,0.015015228945254826,0.20041483402579122,0.9497494965572906,0.21101862622961848,11.44018219966584,0.47667425831940996,0.0028968630537852913,0.9964715709361457,0.15404701232910156
25,4.0,0.02,0,1,400,0.0007588111852265356,0.9990439714955407,0.0009060773378485243,0.19004856889712585,0.9506058028510466,0.19992363640862937,11.205337283458247,0.466889053477427,0.005195259735141068,0.9936342121563528,0.15151214599609375
25,4.0,0.02,0,10,391,0.022951416581956752,0.9712394441467438,0.059207375497617336,0.19004856889712585,0.9506058028510466,0.19992363640862937,11.205337283458247,0.466889053477427,0.005195259735141068,0.9936342121563528,0.15151214599609375
25,4.0,0.02,0,50,351,0.1455024320771589,0.8218762732981608,0.07251085720389829,0.19004856889712585,0.9506058028510466,0.19992363640862937,11.205337283458247,0.466889053477427,0.005195259735141068,0.9936342121563528,0.15151214599609375
25,4.0,0.02,0,100,301,0.24864760665153826,0.6891561196471794,0.0343553321845854,0.19004856889712585,0.9506058028510466,0.19992363640862937,11.205337283458247,0.466889053477427,0.005195259735141068,0.9936342121563528,0.15151214599609375
25,4.0,0.02,0,200,201,0.35134431273673533,0.5200106942298521,0.011064147207198203,0.19004856889712585,0.9506058028510466,0.19992363640862937,11.205337283458247,0.466889053477427,0.005195259735141068,0.9936342121563528,0.15151214599609375
25,4.0,0.02,1,1,400,0.0006585176115931869,0.9991762917769131,0.0007993136715374271,0.18677293220038074,0.9531475934166628,0.19595384124180867,11.291381614804092,0.47047423395017046,0.004548189872257233,0.9944190860496904,0.1514749526977539
25,4.0,0.02,1,10,391,0.020555020848937483,0.974397728070894,0.04153492741677479,0.18677293220038074,0.9531475934166628,0.19595384124180867,11.291381614804092,0.47047423395017046,0.004548189872257233,0.9944190860496904,0.1514749526977539
25,4.0,0.02,1,50,351,0.10707041819427128,0.8690807283368046,0.047796352805356185,0.18677293220038074,0.9531475934166628,0.19595384124180867,11.291381614804092,0.47047423395017046,0.004548189872257233,0.9944190860496904,0.1514749526977539
25,4.0,0.02,1,100,301,0.20622651092084526,0.7426793280717179,0.03403595009688882,0.18677293220038074,0.9531475934166628,0.19595384124180867,11.291381614804092,0.47047423395017046,0.004548189872257233,0.9944190860496904,0.1514749526977539
25,4.0,0.02,1,200,201,0.3012729321584234,0.5946100717212659,0.006893714648217548,0.18677293220038074,0.9531475934166628,0.19595384124180867,11.291381614804092,0.47047423395017046,0.004548189872257233,0.9944190860496904,0.1514749526977539
25,4.0,0.02,2,1,400,0.0006254540087427511,0.999217001187388,0.0021201156423843914,0.18886178633216805,0.9524278481387981,0.19829511148926954,11.410634945946805,0.47544312274778355,0.004633706660573026,0.9943103727679029,0.15269875526428223
25,4.0,0.02,2,10,391,0.019967984653078707,0.9751225156745129,0.03811532630925289,0.18886178633216805,0.9524278481387981,0.19829511148926954,11.410634945946805,0.47544312274778355,0.004633706660573026,0.9943103727679029,0.15269875526428223
25,4.0,0.02,2,50,351,0.12360983805698578,0.8489168051717426,0.05223496557874672,0.18886178633216805,0.9524278481387981,0.19829511148926954,11.410634945946805,0.47544312274778355,0.004633706660573026,0.9943103727679029,0.15269875526428223
25,4.0,0.02,2,100,301,0.21855382102998142,0.7267920236497527,0.040307278910395594,0.18886178633216805,0.9524278481387981,0.19829511148926954,11.410634945946805,0.47544312274778355,0.004633706660573026,0.9943103727679029,0.15269875526428223
25,4.0,0.02,2,200,201,0.24284485316369522,0.6723198496174378,0.007753773985317127,0.18886178633216805,0.9524278481387981,0.19829511148926954,11.410634945946805,0.47544312274778355,0.004633706660573026,0.9943103727679029,0.15269875526428223
25,4.0,0.05,0,1,400,0.0012330614000508723,0.9984248812596764,0.0004573089340299805,0.2025290433969162,0.9438174401457553,0.21458497669383952,9.957916463400867,0.4149131859750361,0.019646215492796784,0.9758755416212562,0.26494598388671875
25,4.0,0.05,0,10,391,0.05110739118115841,0.9351446489301691,0.028422682561157552,0.2025290433969162,0.9438174401457553,0.21458497669383952,9.957916463400867,0.4149131859750361,0.019646215492796784,0.9758755416212562,0.26494598388671875
