experiment,seed,n_steps,dt,mu,train_fraction,n_train,n_test_snapshots,state_dim,n_clusters,effective_regimes,subspace_dim,Nb,omega,tau,beta,nlms_epochs,rollout_mode,horizon,n_start_points,relative_association_error,association_r2,simplex_violation
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic_free,10,391,0.2444055023870527,0.7194466911594322,1.5543122344752192e-15
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic_free,20,381,0.3937263856724981,0.550502122079632,2.4424906541753444e-15
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic_free,50,351,0.5684944050388785,0.35855558893900563,3.9968028886505635e-15
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic_free,100,301,0.6554407659340243,0.24849131742518316,5.329070518200751e-15
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic_free,200,201,0.7402283393513484,0.0971479750948454,7.549516567451064e-15
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_free,1,400,0.0056643544453560115,0.9934760795711568,0.027744819713328907
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_free,2,399,0.020513302669327053,0.9763843372528088,0.05905741172754762
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_free,5,396,0.09118267908571029,0.8951721003451908,0.1374009037773751
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_free,10,391,0.18509998672855474,0.7877380247452337,0.20631403628872919
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_free,20,381,0.24202312697345052,0.7240375819880255,0.17423258313921786
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_free,50,351,0.35882355022480034,0.5957549138451945,0.10434055624262571
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_free,100,301,0.41847051531780644,0.5209627989583752,0.0752275790930825
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_free,200,201,0.51806240834133,0.36817996660936214,0.052673851725112415
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_clip_renorm_each_step,1,400,0.006121926096316912,0.992949071406297,5.551115123125783e-16
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_clip_renorm_each_step,2,399,0.02169408118946354,0.9750249819232369,4.440892098500626e-16
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_clip_renorm_each_step,5,396,0.09273477235784729,0.89338774086576,4.440892098500626e-16
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_clip_renorm_each_step,10,391,0.19443811270927186,0.7770296011473886,5.551115123125783e-16
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_clip_renorm_each_step,20,381,0.2772315513123209,0.6838918238679258,4.440892098500626e-16
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_clip_renorm_each_step,50,351,0.4074080335023985,0.5410203831377339,4.440892098500626e-16
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_clip_renorm_each_step,100,301,0.4663435223604591,0.46616096595051804,4.440892098500626e-16
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_clip_renorm_each_step,200,201,0.5573244333280981,0.32029667390424876,4.440892098500626e-16
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_simplex_project_each_step,1,400,0.005237565170318611,0.9939676341334795,2.220446049250313e-16
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_simplex_project_each_step,2,399,0.01903163956604873,0.9780900818964686,3.3306690738754696e-16
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_simplex_project_each_step,5,396,0.08702030207353974,0.899957364872757,2.220446049250313e-16
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_simplex_project_each_step,10,391,0.18931090592769126,0.7829091857882775,2.220446049250313e-16
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_simplex_project_each_step,20,381,0.26686917449260655,0.6957073333991008,3.3306690738754696e-16
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_simplex_project_each_step,50,351,0.4001663830331284,0.5491787150421451,4.440892098500626e-16
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_simplex_project_each_step,100,301,0.4612629329417121,0.4719768866563052,4.440892098500626e-16
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,raw_simplex_project_each_step,200,201,0.5514143980062807,0.32750445168207665,4.440892098500626e-16
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic_free,1,400,0.006735970156983537,0.9922418461381329,7.771561172376096e-16
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic_free,2,399,0.024280157682584222,0.9720477962752478,8.881784197001252e-16
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic_free,5,396,0.10992324708257113,0.8736270612966844,1.1102230246251565e-15
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic_free,10,391,0.2539496128029092,0.7087852496295559,1.1102230246251565e-15
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic_free,20,381,0.4084278096796654,0.5342977038929873,1.887379141862766e-15
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic_free,50,351,0.5897054238283681,0.3356469503963496,3.1086244689504383e-15
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic_free,100,301,0.6728412638833047,0.22977609174881664,4.440892098500626e-15
08_vanderpol_kahkm_projection_diagnostics,2,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic_free,200,201,0.7495135099231174,0.08590617029608827,4.440892098500626e-15
