path	supporting_result_ids	suffix	bytes	sha256	row_count	columns	run_key_values_json
kahkm_exp18_acrobot_selected_seed1/experiment_18_multistep_summary.csv	R16	.csv	4380	7c8631c7d524dad1f581689e719a78bd70dc08b0b19c0b385b4c2bb1fb9d42a2	40	method,horizon,relative_error,r2,simplex_violation,n_eval,task,n_clusters,omega	"{""horizon"":[""1"",""10"",""20"",""5"",""50""],""method"":[""kahkm_nlms"",""kahkm_nlms_simplex_project_each_step"",""kmeans_distance_nlms"",""kmeans_hard_nlms"",""kmeans_rbf_nlms"",""state_dmd"",""state_edmd_poly2"",""state_edmd_poly3""],""n_clusters"":[""150""],""omega"":[""0.5""],""task"":[""Acrobot-v1""]}"
kahkm_exp18_acrobot_selected_seed1/experiment_18_one_step_results.csv	R16	.csv	859	a803c3aa63790221d092f41283cdded5f694a4e95c37ab122fba2a3ba74a6997	8	task,method,n_clusters,omega,test_error,test_r2,simplex_violation	"{""method"":[""kahkm_nlms"",""kahkm_nlms_simplex_project"",""kmeans_distance_nlms"",""kmeans_hard_nlms"",""kmeans_rbf_nlms"",""state_dmd"",""state_edmd_poly2"",""state_edmd_poly3""],""n_clusters"":[""150""],""omega"":[""0.5""],""task"":[""Acrobot-v1""]}"
kahkm_exp18_acrobot_selected_seed1/experiment_18_regime_statistics.csv	R17	.csv	17310	3e2811bb70218b3e4965d5e872d440e496ae28750d2ec523afbaf8eb8432f61f	150	regime,count,mass_fraction,mean_reward,terminal_next_rate,terminal_risk_within_25,action_0_prob,action_1_prob,action_2_prob,action_purity,mean_tip_height,mean_theta1,mean_theta2	{}
kahkm_exp18_acrobot_selected_seed2/experiment_18_multistep_summary.csv	R16	.csv	4389	4bdd92dff766e0f2064e5d8e4f066655a48b215b75e626b0f8d214c013e19567	40	method,horizon,relative_error,r2,simplex_violation,n_eval,task,n_clusters,omega	"{""horizon"":[""1"",""10"",""20"",""5"",""50""],""method"":[""kahkm_nlms"",""kahkm_nlms_simplex_project_each_step"",""kmeans_distance_nlms"",""kmeans_hard_nlms"",""kmeans_rbf_nlms"",""state_dmd"",""state_edmd_poly2"",""state_edmd_poly3""],""n_clusters"":[""150""],""omega"":[""0.5""],""task"":[""Acrobot-v1""]}"
kahkm_exp18_acrobot_selected_seed2/experiment_18_one_step_results.csv	R16	.csv	863	ec16642e331d25507bf88a5f3c6264563851a0f5c6fb7484860637bf6f6ed812	8	task,method,n_clusters,omega,test_error,test_r2,simplex_violation	"{""method"":[""kahkm_nlms"",""kahkm_nlms_simplex_project"",""kmeans_distance_nlms"",""kmeans_hard_nlms"",""kmeans_rbf_nlms"",""state_dmd"",""state_edmd_poly2"",""state_edmd_poly3""],""n_clusters"":[""150""],""omega"":[""0.5""],""task"":[""Acrobot-v1""]}"
kahkm_exp18_acrobot_selected_seed2/experiment_18_regime_statistics.csv	R17	.csv	15828	c7d9506654d53f1914c186da58ce99f85dcd33bd81914dc390899de686aa84ab	150	regime,count,mass_fraction,mean_reward,terminal_next_rate,terminal_risk_within_25,action_0_prob,action_1_prob,action_2_prob,action_purity,mean_tip_height,mean_theta1,mean_theta2	{}
kahkm_exp_duffing_tuning/experiment_duffing_tuning_raw.csv	R04	.csv	135588	2d5aa70f4ca4fc68f68af0d79aaf0430ea94123990ebfa9b6128321db959d71b	960	n_clusters,omega,seed,horizon,n_eval_starts,relative_association_error,association_r2,simplex_violation,train_closure_error,train_association_r2,fit_seconds	"{""horizon"":[""1"",""10"",""100"",""200"",""50""],""n_clusters"":[""10"",""12"",""15"",""20"",""25"",""30"",""40"",""8""],""omega"":[""10.0"",""12.0"",""16.0"",""2.0"",""20.0"",""4.0"",""6.0"",""8.0""],""seed"":[""0"",""1"",""2""]}"
kahkm_experiment_06_outputs/experiment_06_multistep_raw.csv	R01,R02	.csv	8667	5b443a9c54eb5a67fa777a7e3dba3bf69dbd3f2017f5e870a4947d14f7225d51	96	abstraction,horizon,n_starts,relative_association_error,association_r2,simplex_violation,seed	"{""horizon"":[""1"",""10"",""100"",""2"",""20"",""200"",""5"",""50""],""seed"":[""0"",""1"",""2""]}"
kahkm_experiment_06_outputs/experiment_06_one_step_raw.csv	R01	.csv	4878	861cb79bfbf9defc769051c43bbaa055da9c42bd5e44dcd3bcdf57cfdc6d1397	24	abstraction,split,closure_error,association_r2,simplex_violation,spectral_radius,fro_norm,min_entry,max_entry,row_sum_min,row_sum_max,seed	"{""seed"":[""0"",""1"",""2""]}"
kahkm_experiment_07_outputs/experiment_07_multistep_raw.csv	R01,R03	.csv	8543	a233150b5adb2d7a091e803119a4f67c61cfea61794413ede7a3457aa5de9091	96	abstraction,horizon,n_starts,relative_association_error,association_r2,simplex_violation,seed	"{""horizon"":[""1"",""10"",""100"",""2"",""20"",""200"",""5"",""50""],""seed"":[""0"",""1"",""2""]}"
kahkm_experiment_07_outputs/experiment_07_one_step_raw.csv	R01	.csv	4898	c4b272766e047e5e0620ab4f2dbcf03ef206f2f1fa4c9fcdfbd30a0805ef2a3d	24	abstraction,split,closure_error,association_r2,simplex_violation,spectral_radius,fro_norm,min_entry,max_entry,row_sum_min,row_sum_max,seed	"{""seed"":[""0"",""1"",""2""]}"
kahkm_experiment_12_outputs/experiment_12_multistep_raw_results.csv	R08	.csv	12976	3269003b5b3c0664aab62e2cff9bbd8deea885fcf991db39c54929d6bf570f93	150	system,seed,noise_level,horizon,n_eval_starts,relative_association_error,association_r2,simplex_violation	"{""horizon"":[""1"",""10"",""100"",""200"",""50""],""noise_level"":[""0.0"",""0.005"",""0.01"",""0.02"",""0.05""],""seed"":[""0"",""1"",""2""],""system"":[""duffing"",""vanderpol""]}"
kahkm_experiment_14_outputs/experiment_14_test_raw_results.csv	R10	.csv	10768	2baf5529b6f07c9e72caf86f621e23ed94e99fd02ddf41d80676e3b38b85cbbd	120	system,train_count,train_seeds_used,test_seed,horizon,n_eval_starts,relative_association_error,association_r2,simplex_violation	"{""horizon"":[""1"",""10"",""100"",""200"",""50""],""system"":[""duffing"",""vanderpol""],""test_seed"":[""100"",""101"",""102""],""train_count"":[""1"",""2"",""3"",""5""],""train_seeds_used"":[""0"",""0 1"",""0 1 2"",""0 1 2 3 4""]}"
kahkm_experiment_16a_sensitivity_outputs/runs/CartPole-v1_C100_omega12p0/experiment_16_fit_summary.csv	R15	.csv	211	f97ca4f4a5f6fd5c51bdd7ef957ee60082e918b35e1ae225562ac5c7f4d3b1dd	1	task,method,n_clusters,omega,tau,train_transitions,test_transitions,fit_seconds,train_error,test_error	"{""method"":[""kahkm_nlms""],""n_clusters"":[""100""],""omega"":[""12.0""],""task"":[""CartPole-v1""]}"
kahkm_experiment_16a_sensitivity_outputs/runs/CartPole-v1_C100_omega12p0/experiment_16_metadata.json	R15	.json	829	0f868a3226cea827a159c1fd931171b7a00c47190e1f163831a9f7c1125cc767			{}
kahkm_experiment_16a_sensitivity_outputs/runs/CartPole-v1_C100_omega12p0/experiment_16_multistep_results.csv	R15	.csv	4860	c38170cd52aa4ab9c33b2c0770b8eccd03be1da11617a2788b9315b6a0dbe45e	40	method,horizon,metric_space,relative_error,association_r2,simplex_violation,task	"{""horizon"":[""1"",""10"",""20"",""5"",""50""],""method"":[""kahkm_nlms"",""kahkm_nlms_simplex_project_each_step"",""kmeans_distance_nlms"",""kmeans_hard_nlms"",""kmeans_rbf_nlms"",""state_dmd"",""state_edmd_poly2"",""state_edmd_poly3""],""task"":[""CartPole-v1""]}"
kahkm_experiment_16a_sensitivity_outputs/runs/CartPole-v1_C100_omega12p0/experiment_16_multistep_summary.csv	R15	.csv	5497	1c91c47f3cf53781f8347d5565df282df82c3fd5ef98a251813c208bd013ee49	40	task,method,metric_space,horizon,relative_error_mean,relative_error_std,association_r2_mean,association_r2_std,simplex_violation_mean,simplex_violation_std,n	"{""horizon"":[""1"",""10"",""20"",""5"",""50""],""method"":[""kahkm_nlms"",""kahkm_nlms_simplex_project_each_step"",""kmeans_distance_nlms"",""kmeans_hard_nlms"",""kmeans_rbf_nlms"",""state_dmd"",""state_edmd_poly2"",""state_edmd_poly3""],""task"":[""CartPole-v1""]}"
