task,n_clusters,omega,method,train_error,train_r2,test_error,test_r2,simplex_violation
CartPole-v1,80,8.0,kahkm_nlms,0.2818873141299406,0.6355213211311048,0.4108755081393095,0.42758942836243363,0.044519963113587684
CartPole-v1,80,12.0,kahkm_nlms,0.2611527825294032,0.6965069791245613,0.41081072191661866,0.49301586465465264,0.07120165307697762
CartPole-v1,100,2.0,kahkm_nlms,0.16457907480822587,0.013444808734474178,0.16091216167150552,-0.06267496285815444,0.0053187581648724055
CartPole-v1,100,4.0,kahkm_nlms,0.29200273978533814,0.37003450942661975,0.315081141510636,0.2444036032070499,0.014895409774330992
CartPole-v1,100,8.0,kahkm_nlms,0.3012477501970484,0.6153998093403366,0.4282211337334543,0.40976378678938563,0.05490069416536441
CartPole-v1,100,12.0,kahkm_nlms,0.2770670006678943,0.6812546458643023,0.43324911594676985,0.46984639227271974,0.09796583484834569
MountainCar-v0,10,2.0,kahkm_nlms,0.00295592613084456,0.988680782506756,0.002208820679480276,0.990195576671136,8.881784197001252e-16
MountainCar-v0,10,4.0,kahkm_nlms,0.005834717608839415,0.985616074970828,0.004083523893541434,0.9889053706890885,0.009738770437222748
MountainCar-v0,10,8.0,kahkm_nlms,0.011122876050841512,0.979837382439805,0.007719405575285853,0.9852211788648869,0.03210059563641456
MountainCar-v0,10,12.0,kahkm_nlms,0.016152442482385457,0.9744861865610862,0.011991023761201492,0.9802337721469482,0.05075499981216245
MountainCar-v0,15,2.0,kahkm_nlms,0.0029361784543731166,0.9892361925492625,0.00217664017885724,0.9907315289885185,8.881784197001252e-16
MountainCar-v0,15,4.0,kahkm_nlms,0.006050722542611665,0.9856806508134722,0.00410042184725533,0.9893145347530299,0.006876546829776769
MountainCar-v0,15,8.0,kahkm_nlms,0.01398178805619988,0.9760201099954356,0.009227982996839612,0.9832665277894315,0.03239866845138552
MountainCar-v0,15,12.0,kahkm_nlms,0.021258157939609952,0.9682099206902193,0.014285346031859093,0.9776339137014333,0.029793718022253803
MountainCar-v0,20,2.0,kahkm_nlms,0.0050866946680478585,0.9807549503132151,0.00413896692970306,0.9813700240990751,9.992007221626409e-16
MountainCar-v0,20,4.0,kahkm_nlms,0.007731669686268549,0.9825491990036024,0.005456438477045107,0.9863544689230358,0.0022676938305310796
MountainCar-v0,20,8.0,kahkm_nlms,0.01609196755254563,0.9737584650091331,0.010328986761829431,0.9821955915340562,0.029125823100105863
MountainCar-v0,20,12.0,kahkm_nlms,0.02333116016776996,0.9665602443009373,0.014905347172172682,0.9776604147841251,0.034086753024424314
MountainCar-v0,30,2.0,kahkm_nlms,0.004427911948861077,0.979908044587055,0.0035592786241009366,0.9808767434549238,8.881784197001252e-16
MountainCar-v0,30,4.0,kahkm_nlms,0.007236878639809044,0.9825980716477156,0.005268897784587774,0.9858821429946574,0.0014253888950711397
MountainCar-v0,30,8.0,kahkm_nlms,0.016529652769987413,0.9733662157743572,0.010929456389879952,0.9812940969428049,0.022840457480041248
MountainCar-v0,30,12.0,kahkm_nlms,0.024013340636657037,0.9663942492914905,0.014852798953489316,0.9781789043771267,0.036725798928752815
MountainCar-v0,50,2.0,kahkm_nlms,0.006068416444674777,0.96867535278387,0.005057275158715853,0.9702955399020389,1.1102230246251565e-15
MountainCar-v0,50,4.0,kahkm_nlms,0.009038689206822959,0.9776036189362064,0.007249904650255357,0.9804188097147191,0.001012993903508638
MountainCar-v0,50,8.0,kahkm_nlms,0.019416689252211024,0.968998668843203,0.014605018967559478,0.9753437279973441,0.020586388887704834
MountainCar-v0,50,12.0,kahkm_nlms,0.028932626301623444,0.9601664796960351,0.020591155368601535,0.9702440211977724,0.06692521712350392
MountainCar-v0,80,2.0,kahkm_nlms,0.007047211608599662,0.9597373026346874,0.0061557249378569314,0.9626963145290538,1.9984014443252818e-15
MountainCar-v0,80,4.0,kahkm_nlms,0.011415692186982195,0.9710065656969772,0.009830684831017728,0.9737567381144129,0.0003572475521823382
MountainCar-v0,80,8.0,kahkm_nlms,0.024534765463035808,0.9615624378143773,0.01996374774903915,0.9672379820250641,0.0162932477505931
MountainCar-v0,80,12.0,kahkm_nlms,0.03976217347824633,0.9467365964016844,0.029644304941996033,0.958477324582071,0.04833548580295115
MountainCar-v0,100,2.0,kahkm_nlms,0.008046470286665067,0.9545173635810575,0.007240758169599908,0.9581122348673067,1.9984014443252818e-15
MountainCar-v0,100,4.0,kahkm_nlms,0.013224947910527753,0.9670241499115336,0.011682470102467474,0.9699370260751149,2.220446049250313e-15
MountainCar-v0,100,8.0,kahkm_nlms,0.02656284709275251,0.9590344033150289,0.022221793383716458,0.9642695044819036,0.012820034062626396
MountainCar-v0,100,12.0,kahkm_nlms,0.04447608788316704,0.941372703530464,0.0335706731529751,0.9538401881526827,0.044132829011746304
