task,n_clusters,omega,method,metric_space,horizon,relative_error,association_r2,simplex_violation
CartPole-v1,20,2.0,kahkm_nlms,kahkm_association,20,0.18067273271526582,0.08392972976651314,3.774758283725532e-15
CartPole-v1,20,2.0,kahkm_nlms,kahkm_association,5,0.16929439160679022,0.14272306950345803,2.1094237467877974e-15
CartPole-v1,20,2.0,kahkm_nlms,kahkm_association,50,0.1908104838974405,0.026242170759570915,6.8833827526759706e-15
CartPole-v1,20,2.0,kahkm_nlms_simplex_project_each_step,kahkm_association,1,0.1433438166061631,0.27445409667753595,5.551115123125783e-16
CartPole-v1,20,2.0,kahkm_nlms_simplex_project_each_step,kahkm_association,10,0.17242409338638925,0.12650439320130014,5.551115123125783e-16
CartPole-v1,20,2.0,kahkm_nlms_simplex_project_each_step,kahkm_association,20,0.18067422697996882,0.08392215335224351,5.551115123125783e-16
CartPole-v1,20,2.0,kahkm_nlms_simplex_project_each_step,kahkm_association,5,0.16931721135155486,0.1426075143420562,4.440892098500626e-16
CartPole-v1,20,2.0,kahkm_nlms_simplex_project_each_step,kahkm_association,50,0.19082034064307085,0.02619186910406268,6.661338147750939e-16
CartPole-v1,20,4.0,kahkm_nlms,kahkm_association,1,0.2722133313073813,0.3362836195384026,0.05484450012291769
CartPole-v1,20,4.0,kahkm_nlms,kahkm_association,10,0.3249693951595121,0.20764132255901446,0.014158130508725785
CartPole-v1,20,4.0,kahkm_nlms,kahkm_association,20,0.36718349216070095,0.10642831306141232,0.010722433426244668
CartPole-v1,20,4.0,kahkm_nlms,kahkm_association,5,0.3054137046288677,0.2551427785670817,0.024792145664143603
CartPole-v1,20,4.0,kahkm_nlms,kahkm_association,50,0.4121553730576504,2.1713566580205956e-05,0.0028178029120326875
CartPole-v1,20,4.0,kahkm_nlms_simplex_project_each_step,kahkm_association,1,0.2621475846298054,0.3608261388904034,6.661338147750939e-16
CartPole-v1,20,4.0,kahkm_nlms_simplex_project_each_step,kahkm_association,10,0.3268100484053873,0.20315333817262882,5.551115123125783e-16
CartPole-v1,20,4.0,kahkm_nlms_simplex_project_each_step,kahkm_association,20,0.3675383536664616,0.10556472795722871,5.551115123125783e-16
CartPole-v1,20,4.0,kahkm_nlms_simplex_project_each_step,kahkm_association,5,0.3060637099263794,0.2535575152587124,5.551115123125783e-16
CartPole-v1,20,4.0,kahkm_nlms_simplex_project_each_step,kahkm_association,50,0.4125736240794794,-0.0009930540852518543,4.440892098500626e-16
