task,regime,count,mass_fraction,mean_membership,reward_mean,termination_rate,truncation_rate,terminal_risk_within_25,empirical_persistence,learned_persistence,state0_mean,state0_std,state1_mean,state1_std,action_0_rate,action_1_rate,action_2_rate
MountainCar-v0,57,3,0.005747126436781609,0.013443094587994827,-1.0,0.0,0.0,0.0,0.0,0.9992532583250263,-0.38587895035743713,0.0028785378313804936,0.04637404531240463,0.012651957157900887,0.0,0.0,1.0
MountainCar-v0,58,5,0.009578544061302681,0.013613258816309098,-1.0,0.0,0.0,0.0,0.0,0.9991818941406929,-0.3224446177482605,0.009256168741764208,0.04993486665189266,0.010866981349220338,0.0,0.0,1.0
MountainCar-v0,59,0,0.0,nan,nan,nan,nan,nan,0.0,0.9997424012685429,nan,nan,nan,nan,nan,nan,nan
MountainCar-v0,60,7,0.013409961685823755,0.015344348486785364,-1.0,0.0,0.0,0.0,0.42857142857142855,0.999754003665417,-0.9667745658329555,0.009395911689621866,-0.022593217502747263,0.013331232618925182,1.0,0.0,0.0
MountainCar-v0,61,7,0.013409961685823755,0.016687448030946916,-1.0,0.0,0.0,0.0,0.7142857142857143,0.9998510822760031,-1.1098223073141915,0.008033447447933278,-0.011595548197094883,0.014873226385265248,1.0,0.0,0.0
MountainCar-v0,62,13,0.02490421455938697,0.013051622859357218,-1.0,0.0,0.0,0.0,0.6923076923076923,0.9995659197988248,-0.5047988089231344,0.013067043112704436,0.00477464055942479,0.007886414072871292,0.23076923076923078,0.15384615384615385,0.6153846153846154
MountainCar-v0,63,8,0.01532567049808429,0.01598898287630439,-1.0,0.0,0.0,0.0,0.625,0.9998188893479942,-1.0436945110559464,0.009250430282119883,-0.014355419232742861,0.014566143014425527,0.875,0.0,0.125
MountainCar-v0,64,4,0.007662835249042145,0.013695220523679861,-1.0,0.0,0.0,0.0,0.25,0.9994109320171705,-0.3114524483680725,0.011778613908500555,-0.019840005319565535,0.015826619388469614,1.0,0.0,0.0
MountainCar-v0,65,3,0.005747126436781609,0.014458757110766522,-1.0,0.0,0.0,0.0,0.0,0.999004567949006,-0.16607831418514252,0.009507246441229087,0.0404859334230423,0.009820425734004313,0.0,0.0,1.0
MountainCar-v0,66,1,0.0019157088122605363,0.017307685427542182,-1.0,0.0,0.0,0.0,0.0,0.9997255033350285,-1.1520248651504517,0.0,-0.04612645134329796,0.0,1.0,0.0,0.0
MountainCar-v0,67,23,0.044061302681992334,0.013460464852979834,-1.0,0.0,0.0,0.0,0.8695652173913043,0.9993803747333152,-0.372333938660829,0.00871254122358642,0.003474341740872225,0.004625668471952808,0.21739130434782608,0.043478260869565216,0.7391304347826086
MountainCar-v0,68,6,0.011494252873563218,0.01337261591065706,-1.0,0.0,0.0,0.0,0.3333333333333333,0.9994262958274922,-0.41528914372126263,0.012466887234666393,-0.024734220777948696,0.012789922554310433,1.0,0.0,0.0
MountainCar-v0,69,4,0.007662835249042145,0.013230280722453944,-1.0,0.0,0.0,0.0,0.25,0.9994419903715541,-0.4522154927253723,0.007171646034467683,-0.021532253827899694,0.00397088224899142,0.75,0.25,0.0
MountainCar-v0,70,4,0.007662835249042145,0.01304551717840391,-1.0,0.0,0.0,0.0,0.0,0.9994211177706811,-0.5316375643014908,0.00881253698258791,0.04561727261170745,0.010539765736745569,0.25,0.0,0.75
MountainCar-v0,71,1,0.0019157088122605363,0.016007008913600254,-1.0,0.0,0.0,0.0,0.0,0.9994931167402743,0.0006592997815459967,0.0,-0.021679209545254707,0.0,1.0,0.0,0.0
MountainCar-v0,72,7,0.013409961685823755,0.0130660612149488,-1.0,0.0,0.0,0.0,0.2857142857142857,0.9996854410375877,-0.5603458796228681,0.007265573480650528,-0.025666160242898122,0.015051658816945201,0.8571428571428571,0.0,0.14285714285714285
MountainCar-v0,73,2,0.0038314176245210726,0.01304300467535261,-1.0,0.0,0.0,0.0,0.5,0.9994317120804216,-0.5733520686626434,0.004096418619155884,-0.007863499922677875,0.00032932148315012455,1.0,0.0,0.0
MountainCar-v0,74,7,0.013409961685823755,0.016105886478521576,-1.0,0.0,0.0,0.0,0.42857142857142855,0.9995139747901644,0.3779088982513973,0.016466807480649548,0.03570076184613364,0.008540033207656065,0.0,0.0,1.0
MountainCar-v0,75,6,0.011494252873563218,0.014170578611591456,-1.0,0.0,0.0,0.0,0.3333333333333333,0.999913560444778,-0.8229635258515676,0.015075268288521744,-0.031927638687193394,0.011133680940435648,0.8333333333333334,0.0,0.16666666666666666
MountainCar-v0,76,3,0.005747126436781609,0.015693891762573662,-1.0,0.0,0.0,0.0,0.0,0.9994660013631786,0.28334300716718036,0.005508125774026815,0.043082227309544883,0.004841043756107136,0.0,0.0,1.0
MountainCar-v0,77,4,0.007662835249042145,0.015466993834513082,-1.0,0.0,0.0,0.0,0.25,0.9998481741368794,-0.9835251718759537,0.008258923177813102,0.026638034265488386,0.007067067838357801,0.0,0.0,1.0
MountainCar-v0,78,14,0.02681992337164751,0.013506286100813529,-1.0,0.0,0.0,0.0,0.8571428571428571,0.9998888220288905,-0.7567835918494633,0.009730043780349648,-0.004266580957586744,0.0063031128682436086,0.7857142857142857,0.07142857142857142,0.14285714285714285
MountainCar-v0,79,3,0.005747126436781609,0.013971070484346898,-1.0,0.0,0.0,0.0,0.0,0.9991067976056212,-0.24556758006413779,0.007556600994302881,0.043500784784555435,0.011076890645298718,0.0,0.0,1.0
MountainCar-v0,80,9,0.017241379310344827,0.013315555065934109,-1.0,0.0,0.0,0.0,0.5555555555555556,0.999894621250572,-0.7028548585044013,0.012999074476982423,-0.02092868700209591,0.009984847359751735,0.8888888888888888,0.0,0.1111111111111111
MountainCar-v0,81,0,0.0,nan,nan,nan,nan,nan,0.0,0.9993003887121601,nan,nan,nan,nan,nan,nan,nan
MountainCar-v0,82,3,0.005747126436781609,0.01458505452024636,-1.0,0.0,0.0,0.0,0.0,0.9996631103362765,-0.8844705820083618,0.0024224980978528195,0.032915569841861725,0.004623177264036914,0.0,0.0,1.0
MountainCar-v0,83,2,0.0038314176245210726,0.01760629407133334,-1.0,0.0,0.0,0.0,0.5,0.9994116030951433,-1.1739607453346252,0.006535232067108154,0.011419071815907955,0.0016513774171471596,0.0,0.0,1.0
MountainCar-v0,84,14,0.02681992337164751,0.013802981747228105,-1.0,0.0,0.0,0.0,0.7857142857142857,0.999387723967564,-0.2977834663220814,0.004182127249600909,-0.00021380521918347637,0.004979721335845477,0.35714285714285715,0.0,0.6428571428571429
MountainCar-v0,85,10,0.019157088122605363,0.013292669875946125,-1.0,0.0,0.0,0.0,0.7,0.9995194838679967,-0.42273401021957396,0.005517383279431174,0.005092647799756378,0.004095810393456268,0.0,0.0,1.0
MountainCar-v0,86,5,0.009578544061302681,0.013500158649489271,-1.0,0.0,0.0,0.0,0.2,0.9994011666851343,-0.7489767432212829,0.0043422464412903265,0.030781409423798322,0.01982240687088853,0.0,0.0,1.0
MountainCar-v0,87,3,0.005747126436781609,0.015950170345144347,-1.0,0.0,0.0,0.0,0.0,0.999467480577673,-1.0468125343322754,0.003886489665197494,0.018835733955105145,0.010616303413080093,0.0,0.0,1.0
MountainCar-v0,88,4,0.007662835249042145,0.013352313822824391,-1.0,0.0,0.0,0.0,0.0,0.9995412314292945,-0.4235890731215477,0.002678360589790146,0.04668089281767607,0.009941113390057325,0.0,0.0,1.0
MountainCar-v0,89,4,0.007662835249042145,0.013179066565044067,-1.0,0.0,0.0,0.0,0.0,0.9995004107851259,-0.47114383429288864,0.013986152741901191,-0.03166069369763136,0.013105499473392538,0.75,0.25,0.0
