config_name,n_clusters,omega,n_train_trajectories,replicate,train_seeds,test_seeds,horizon,n_eval_starts,relative_association_error,association_r2,simplex_violation,train_closure_error,train_association_r2,fit_seconds
robust_tuned,10,0.25,5,1,1000 1001 1002 1003 1004,100 101 102,1,2400,0.00014647639466746013,0.9916879198268803,1.1102230246251565e-15,0.00016413816417609896,0.9907577997613478,2.543581008911133
robust_tuned,10,0.25,5,1,1000 1001 1002 1003 1004,100 101 102,10,2373,0.0018818391303029418,0.8936024491304433,8.659739592076221e-15,0.00016413816417609896,0.9907577997613478,2.543581008911133
robust_tuned,10,0.25,5,1,1000 1001 1002 1003 1004,100 101 102,50,2253,0.007108948541548195,0.6060441262743099,2.7755575615628914e-14,0.00016413816417609896,0.9907577997613478,2.543581008911133
robust_tuned,10,0.25,5,1,1000 1001 1002 1003 1004,100 101 102,100,2103,0.012163820296274582,0.3417655194464404,3.907985046680551e-14,0.00016413816417609896,0.9907577997613478,2.543581008911133
robust_tuned,10,0.25,5,1,1000 1001 1002 1003 1004,100 101 102,200,1803,0.013578039765505381,0.23504353699189262,3.219646771412954e-14,0.00016413816417609896,0.9907577997613478,2.543581008911133
robust_tuned,10,0.25,5,2,2000 2001 2002 2003 2004,100 101 102,1,2400,0.00013491643200744745,0.9919138951030023,8.881784197001252e-16,0.00015077053874602226,0.9909532789953278,2.56459903717041
robust_tuned,10,0.25,5,2,2000 2001 2002 2003 2004,100 101 102,10,2373,0.0015650356740994503,0.906568984986156,4.6629367034256575e-15,0.00015077053874602226,0.9909532789953278,2.56459903717041
robust_tuned,10,0.25,5,2,2000 2001 2002 2003 2004,100 101 102,50,2253,0.006149373089357441,0.6398338757929939,2.120525977034049e-14,0.00015077053874602226,0.9909532789953278,2.56459903717041
robust_tuned,10,0.25,5,2,2000 2001 2002 2003 2004,100 101 102,100,2103,0.010346857252559204,0.40803529974118,4.3076653355456074e-14,0.00015077053874602226,0.9909532789953278,2.56459903717041
robust_tuned,10,0.25,5,2,2000 2001 2002 2003 2004,100 101 102,200,1803,0.011205303652172625,0.33710248855029157,6.272760089132134e-14,0.00015077053874602226,0.9909532789953278,2.56459903717041
robust_tuned,10,0.25,8,0,0 1 2 3 4 5 6 7,100 101 102,1,2400,8.315175014566044e-05,0.9948042175329672,6.661338147750939e-16,8.059693318104575e-05,0.9949300033148982,4.9725661277771
robust_tuned,10,0.25,8,0,0 1 2 3 4 5 6 7,100 101 102,10,2373,0.0010489790360521504,0.9347157496832509,4.440892098500626e-15,8.059693318104575e-05,0.9949300033148982,4.9725661277771
robust_tuned,10,0.25,8,0,0 1 2 3 4 5 6 7,100 101 102,50,2253,0.004438481284727228,0.7296721639205757,2.2315482794965646e-14,8.059693318104575e-05,0.9949300033148982,4.9725661277771
robust_tuned,10,0.25,8,0,0 1 2 3 4 5 6 7,100 101 102,100,2103,0.006957638197247587,0.586417974888644,3.597122599785507e-14,8.059693318104575e-05,0.9949300033148982,4.9725661277771
robust_tuned,10,0.25,8,0,0 1 2 3 4 5 6 7,100 101 102,200,1803,0.0076515939265231255,0.5293217395583887,5.861977570020827e-14,8.059693318104575e-05,0.9949300033148982,4.9725661277771
robust_tuned,10,0.25,8,1,1000 1001 1002 1003 1004 1005 1006 1007,100 101 102,1,2400,8.664575997643264e-05,0.9946211982803065,6.661338147750939e-16,8.347291894584169e-05,0.9947841447863673,4.871748208999634
robust_tuned,10,0.25,8,1,1000 1001 1002 1003 1004 1005 1006 1007,100 101 102,10,2373,0.0010882633975765514,0.9327172223600538,3.552713678800501e-15,8.347291894584169e-05,0.9947841447863673,4.871748208999634
robust_tuned,10,0.25,8,1,1000 1001 1002 1003 1004 1005 1006 1007,100 101 102,50,2253,0.004526275459088876,0.7262214202964298,2.020605904817785e-14,8.347291894584169e-05,0.9947841447863673,4.871748208999634
robust_tuned,10,0.25,8,1,1000 1001 1002 1003 1004 1005 1006 1007,100 101 102,100,2103,0.007120820341561353,0.579520265651078,4.063416270128073e-14,8.347291894584169e-05,0.9947841447863673,4.871748208999634
robust_tuned,10,0.25,8,1,1000 1001 1002 1003 1004 1005 1006 1007,100 101 102,200,1803,0.007946285787123631,0.5145212593749637,4.285460875053104e-14,8.347291894584169e-05,0.9947841447863673,4.871748208999634
robust_tuned,10,0.25,8,2,2000 2001 2002 2003 2004 2005 2006 2007,100 101 102,1,2400,0.00011875119289357778,0.992918132872105,8.881784197001252e-16,0.0001335155402774771,0.9919988625211547,4.8870930671691895
robust_tuned,10,0.25,8,2,2000 2001 2002 2003 2004 2005 2006 2007,100 101 102,10,2373,0.001332248039807183,0.9208791982471479,5.10702591327572e-15,0.0001335155402774771,0.9919988625211547,4.8870930671691895
robust_tuned,10,0.25,8,2,2000 2001 2002 2003 2004 2005 2006 2007,100 101 102,50,2253,0.005037926589699074,0.7065690510448417,2.3314683517128287e-14,0.0001335155402774771,0.9919988625211547,4.8870930671691895
robust_tuned,10,0.25,8,2,2000 2001 2002 2003 2004 2005 2006 2007,100 101 102,100,2103,0.008748546510775656,0.5024978697632245,3.930189507173054e-14,0.0001335155402774771,0.9919988625211547,4.8870930671691895
robust_tuned,10,0.25,8,2,2000 2001 2002 2003 2004 2005 2006 2007,100 101 102,200,1803,0.009033255540740776,0.47056591351159616,6.17284001691587e-14,0.0001335155402774771,0.9919988625211547,4.8870930671691895
clean_tuned,15,0.5,1,0,0,100 101 102,1,2400,0.0004935995005852243,0.9905165173846144,6.661338147750939e-16,0.0004767606701800502,0.9909241843639054,0.4098701477050781
clean_tuned,15,0.5,1,0,0,100 101 102,10,2373,0.006666887012631189,0.872241662758896,3.3306690738754696e-15,0.0004767606701800502,0.9909241843639054,0.4098701477050781
clean_tuned,15,0.5,1,0,0,100 101 102,50,2253,0.035197956380385455,0.3357854696376994,1.1657341758564144e-14,0.0004767606701800502,0.9909241843639054,0.4098701477050781
clean_tuned,15,0.5,1,0,0,100 101 102,100,2103,0.046458713495774524,0.13945977577675905,1.7985612998927536e-14,0.0004767606701800502,0.9909241843639054,0.4098701477050781
clean_tuned,15,0.5,1,0,0,100 101 102,200,1803,0.060296824047073545,-0.14894511674388022,2.8199664825478976e-14,0.0004767606701800502,0.9909241843639054,0.4098701477050781
clean_tuned,15,0.5,1,1,1000,100 101 102,1,2400,0.0004551073899993548,0.9916040391951332,1.1102230246251565e-15,0.0004498053771305132,0.9917366492753673,0.4091470241546631
clean_tuned,15,0.5,1,1,1000,100 101 102,10,2373,0.005963004052849952,0.8902643661300784,7.549516567451064e-15,0.0004498053771305132,0.9917366492753673,0.4091470241546631
clean_tuned,15,0.5,1,1,1000,100 101 102,50,2253,0.03255622834958502,0.4079657070627153,3.141931159689193e-14,0.0004498053771305132,0.9917366492753673,0.4091470241546631
clean_tuned,15,0.5,1,1,1000,100 101 102,100,2103,0.042284797351881655,0.2438987954651458,5.562217353372034e-14,0.0004498053771305132,0.9917366492753673,0.4091470241546631
clean_tuned,15,0.5,1,1,1000,100 101 102,200,1803,0.05252666605621898,0.024959668324884388,7.838174553853605e-14,0.0004498053771305132,0.9917366492753673,0.4091470241546631
clean_tuned,15,0.5,1,2,2000,100 101 102,1,2400,0.0004218719388075118,0.9920432969147861,6.661338147750939e-16,0.0004058549639614031,0.9924162829429439,0.41541600227355957
clean_tuned,15,0.5,1,2,2000,100 101 102,10,2373,0.005676021428476379,0.8932425417192351,4.218847493575595e-15,0.0004058549639614031,0.9924162829429439,0.41541600227355957
clean_tuned,15,0.5,1,2,2000,100 101 102,50,2253,0.03162719197081727,0.41368023566879286,2.042810365310288e-14,0.0004058549639614031,0.9924162829429439,0.41541600227355957
clean_tuned,15,0.5,1,2,2000,100 101 102,100,2103,0.04179215919024584,0.24145862652228223,3.863576125695545e-14,0.0004058549639614031,0.9924162829429439,0.41541600227355957
clean_tuned,15,0.5,1,2,2000,100 101 102,200,1803,0.05581763410414655,-0.04598844876196684,5.773159728050814e-14,0.0004058549639614031,0.9924162829429439,0.41541600227355957
clean_tuned,15,0.5,2,0,0 1,100 101 102,1,2400,0.0004071698861050721,0.992362239010617,8.881784197001252e-16,0.0003929903640809028,0.9926832432617572,0.891355037689209
clean_tuned,15,0.5,2,0,0 1,100 101 102,10,2373,0.004652324304460693,0.9128859885205634,5.10702591327572e-15,0.0003929903640809028,0.9926832432617572,0.891355037689209
clean_tuned,15,0.5,2,0,0 1,100 101 102,50,2253,0.020763549178215504,0.6147094729939122,2.4868995751603507e-14,0.0003929903640809028,0.9926832432617572,0.891355037689209
clean_tuned,15,0.5,2,0,0 1,100 101 102,100,2103,0.029021766998478034,0.4716262100538964,3.419486915845482e-14,0.0003929903640809028,0.9926832432617572,0.891355037689209
clean_tuned,15,0.5,2,0,0 1,100 101 102,200,1803,0.028272097715013714,0.4671763695670136,2.930988785010413e-14,0.0003929903640809028,0.9926832432617572,0.891355037689209
clean_tuned,15,0.5,2,1,1000 1001,100 101 102,1,2400,0.00044999838678444877,0.9917449039602766,8.881784197001252e-16,0.00043668504790476297,0.9920663413909916,0.9068472385406494
clean_tuned,15,0.5,2,1,1000 1001,100 101 102,10,2373,0.004822234181243775,0.911775082695828,5.329070518200751e-15,0.00043668504790476297,0.9920663413909916,0.9068472385406494
clean_tuned,15,0.5,2,1,1000 1001,100 101 102,50,2253,0.02167660530923632,0.6097517076531362,2.531308496145357e-14,0.00043668504790476297,0.9920663413909916,0.9068472385406494
clean_tuned,15,0.5,2,1,1000 1001,100 101 102,100,2103,0.030104191424545693,0.46865437864013093,4.418687638008123e-14,0.00043668504790476297,0.9920663413909916,0.9068472385406494
clean_tuned,15,0.5,2,1,1000 1001,100 101 102,200,1803,0.02831614500086241,0.48317624879309495,5.684341886080802e-14,0.00043668504790476297,0.9920663413909916,0.9068472385406494
clean_tuned,15,0.5,2,2,2000 2001,100 101 102,1,2400,0.0004602841088221314,0.9916175843222172,6.661338147750939e-16,0.00044096480366344473,0.9919869645493756,0.8973777294158936
clean_tuned,15,0.5,2,2,2000 2001,100 101 102,10,2373,0.004999550446440451,0.9091192622907597,3.552713678800501e-15,0.00044096480366344473,0.9919869645493756,0.8973777294158936
clean_tuned,15,0.5,2,2,2000 2001,100 101 102,50,2253,0.021555162001661684,0.6124290461817681,1.2212453270876722e-14,0.00044096480366344473,0.9919869645493756,0.8973777294158936
clean_tuned,15,0.5,2,2,2000 2001,100 101 102,100,2103,0.029654678985960827,0.476403011395235,1.532107773982716e-14,0.00044096480366344473,0.9919869645493756,0.8973777294158936
clean_tuned,15,0.5,2,2,2000 2001,100 101 102,200,1803,0.027883507044573732,0.4939806855338691,1.9761969838327786e-14,0.00044096480366344473,0.9919869645493756,0.8973777294158936
clean_tuned,15,0.5,3,0,0 1 2,100 101 102,1,2400,0.00042123351389262157,0.9921849197519599,1.1102230246251565e-15,0.00040501875348353044,0.9925419996203727,1.5231428146362305
clean_tuned,15,0.5,3,0,0 1 2,100 101 102,10,2373,0.004152303198481686,0.9231148088212786,7.327471962526033e-15,0.00040501875348353044,0.9925419996203727,1.5231428146362305
clean_tuned,15,0.5,3,0,0 1 2,100 101 102,50,2253,0.017575582932990396,0.6793361339042616,3.241851231905457e-14,0.00040501875348353044,0.9925419996203727,1.5231428146362305
