config_name,n_clusters,omega,n_train_trajectories,horizon,n_runs,relative_association_error_mean,relative_association_error_std,association_r2_mean,association_r2_std,simplex_violation_mean,simplex_violation_max,fit_seconds_mean
old_default,20,4.0,3,10,3,0.013366854257147282,0.0008286113383269406,0.983698082665891,0.0010462808236552982,0.0926788148636496,0.10534110313184547,1.4196606477101643
old_default,20,4.0,3,50,3,0.07472678192726749,0.004147459355749239,0.909647496343334,0.005145592033231319,0.11592471905538468,0.13665211103157174,1.4196606477101643
old_default,20,4.0,3,100,3,0.17350578444762513,0.007293017392516484,0.7914025201377453,0.008931912024523014,0.11759241168424568,0.12122800942076294,1.4196606477101643
old_default,20,4.0,3,200,3,0.1572727089726288,0.006229824394291799,0.8085438558566367,0.0077343077293665985,0.08256782040837685,0.11516184028944808,1.4196606477101643
old_default,20,4.0,5,1,3,0.0015027067089441516,0.00030853187613727175,0.9981563515533343,0.0003787240874569246,0.02554975092901729,0.02778159698585343,2.634077310562134
old_default,20,4.0,5,10,3,0.012011386846252298,0.0009832761539808367,0.985283214642235,0.0012048941713089876,0.09381462977195015,0.11856705137689359,2.634077310562134
old_default,20,4.0,5,50,3,0.07466842844881906,0.005278487924572598,0.909340961091796,0.006397164101907492,0.11562623630868003,0.15959843421833703,2.634077310562134
old_default,20,4.0,5,100,3,0.18142194532982445,0.005930229435791418,0.7812547467798863,0.0069094222682008965,0.1205957522853649,0.13304647496153205,2.634077310562134
old_default,20,4.0,5,200,3,0.1597429731152763,0.013166514737152064,0.8048612604019479,0.01569664187884605,0.07604714851184835,0.08821624090459783,2.634077310562134
old_default,20,4.0,8,1,3,0.0014463306730199195,0.00014884891560776933,0.9982267980153205,0.00018138974055563443,0.02284536288033794,0.02511508411241708,4.750063578287761
old_default,20,4.0,8,10,3,0.010841577576813158,0.0005105401267021856,0.9867242627181576,0.0005846183959048259,0.079060904095087,0.08517356191245282,4.750063578287761
old_default,20,4.0,8,50,3,0.06454684101856928,0.0004719587725286786,0.9216115866527068,0.0006886654975216367,0.09907150912665932,0.10084518457547753,4.750063578287761
old_default,20,4.0,8,100,3,0.1576025710454248,0.007880310188957074,0.8098552516792712,0.009682778053626972,0.10940008445801085,0.1243113712383885,4.750063578287761
old_default,20,4.0,8,200,3,0.14592371308271893,0.0019848548090867064,0.821953997138354,0.002922425573905338,0.07151888609491788,0.0897172008183331,4.750063578287761
robust_tuned,10,0.25,1,1,3,0.00012622691383075532,3.225537268968841e-05,0.9934910995920865,0.002216412770783851,6.661338147750939e-16,6.661338147750939e-16,0.5104170640309652
robust_tuned,10,0.25,1,10,3,0.002293908648767413,0.00021358318350904077,0.8836920286804142,0.020058466434201627,3.293661639721298e-15,3.774758283725532e-15,0.5104170640309652
robust_tuned,10,0.25,1,50,3,0.013569555486126025,0.00019852336259701294,0.3281387568587223,0.06052648908860367,1.495100339828544e-14,1.5765166949677223e-14,0.5104170640309652
robust_tuned,10,0.25,1,100,3,0.020074682088630825,0.0010040169757384683,0.028651821328418297,0.1145962507324877,2.731148640577885e-14,2.8310687127941492e-14,0.5104170640309652
robust_tuned,10,0.25,1,200,3,0.024217634647477573,0.002858195291515053,-0.208263391448701,0.1667363541495033,6.024810280299182e-14,6.306066779870889e-14,0.5104170640309652
robust_tuned,10,0.25,2,1,3,0.0001711668168099009,5.372442257491371e-05,0.9915198793531145,0.0025777137682910017,7.401486830834377e-16,8.881784197001252e-16,0.937682310740153
robust_tuned,10,0.25,2,10,3,0.002531829526982112,0.0004773520505661332,0.8748476289425166,0.02276683232078619,3.848773152033876e-15,5.551115123125783e-15,0.937682310740153
robust_tuned,10,0.25,2,50,3,0.011183727712838855,0.0007359574281327562,0.45847277313204243,0.03279969460300636,1.587618925213974e-14,2.4646951146678475e-14,0.937682310740153
robust_tuned,10,0.25,2,100,3,0.01671449942873531,0.0008876429199644147,0.2108716703607593,0.04777040657837418,2.6201263381153694e-14,4.04121180963557e-14,0.937682310740153
robust_tuned,10,0.25,2,200,3,0.01603014689091609,0.0012891595978129571,0.205105037162485,0.05486971247194413,4.522308453639804e-14,6.794564910705958e-14,0.937682310740153
robust_tuned,10,0.25,3,1,3,0.00015241532976029612,1.915261304897829e-05,0.9914884668938284,0.0011955805250462392,6.291263806209221e-16,6.661338147750939e-16,1.4642197291056316
robust_tuned,10,0.25,3,10,3,0.0020451684486935103,9.46176750227584e-05,0.8865506434306343,0.003440495523404646,3.3676765080296414e-15,3.4416913763379853e-15,1.4642197291056316
robust_tuned,10,0.25,3,50,3,0.008942750357963165,0.0001477532095908071,0.5133321461102411,0.011106017805126215,1.4617936490897893e-14,1.6986412276764895e-14,1.4642197291056316
robust_tuned,10,0.25,3,100,3,0.014701769555477,0.0006506368996932983,0.2190681383373397,0.047613500771121225,2.7829590483937256e-14,3.4861002973229915e-14,1.4642197291056316
robust_tuned,10,0.25,3,200,3,0.015913759452291912,0.0011964274139954747,0.11646966406854468,0.08189738668295643,4.529709940470639e-14,6.128431095930864e-14,1.4642197291056316
robust_tuned,10,0.25,5,1,3,0.0001227171408506087,2.586079273912405e-05,0.9928001450158846,0.0014161434145829699,8.881784197001252e-16,1.1102230246251565e-15,2.572460969289144
robust_tuned,10,0.25,5,10,3,0.0015832523630266292,0.00023670888321697864,0.9074602565425481,0.011695704648533414,5.625129991434126e-15,8.659739592076221e-15,2.572460969289144
robust_tuned,10,0.25,5,50,3,0.00649541141898274,0.0004350195131869391,0.6270606962716088,0.014975578075378602,2.1723363848498895e-14,2.7755575615628914e-14,2.572460969289144
robust_tuned,10,0.25,5,100,3,0.011062895803430938,0.0007901230143897702,0.37976168260205784,0.027914355576302983,3.5638159090467525e-14,4.3076653355456074e-14,2.572460969289144
robust_tuned,10,0.25,5,200,3,0.01212731223115681,0.0010383085495810208,0.2964433253408451,0.04417116364539982,3.863576125695545e-14,6.272760089132134e-14,2.572460969289144
robust_tuned,10,0.25,8,1,3,9.618290100522362e-05,1.6021815861357027e-05,0.9941145162284596,0.0008492639413958592,7.401486830834377e-16,8.881784197001252e-16,4.7939683596293134
robust_tuned,10,0.25,8,10,3,0.0011564968244786283,0.00012530544689462616,0.9294373900968176,0.0061063089597128955,4.366877230192283e-15,5.10702591327572e-15,4.7939683596293134
robust_tuned,10,0.25,8,50,3,0.004667561111171726,0.00026432920765156277,0.7208208784206157,0.010175553893246373,2.1945408453423927e-14,2.3314683517128287e-14,4.7939683596293134
robust_tuned,10,0.25,8,100,3,0.007609001683194865,0.0008085290815653283,0.5561453701009822,0.038038886397551826,3.863576125695545e-14,4.063416270128073e-14,4.7939683596293134
robust_tuned,10,0.25,8,200,3,0.008210378418129178,0.0005941693879493762,0.5048029708149828,0.024951895359024027,5.440092820663267e-14,6.17284001691587e-14,4.7939683596293134
