estimator,horizon,n_starts,relative_association_error,association_r2,simplex_violation,seed
nlms,5,296,9.155118929149758e-06,0.9895638332898272,0.00023490316863710098,1
nlms,10,291,3.047475518379304e-05,0.9647119123719112,0.00045021065824048126,1
nlms,20,281,9.462595369808491e-05,0.8835819191992412,0.0008394798437032866,1
nlms,50,251,0.0003085506957863576,0.5149795581507515,0.0016844603682915895,1
nlms,100,201,0.0004014656043356706,0.1826383155003659,0.0019003900272745108,1
nlms,200,101,0.00044356256929359674,-2.158563877098996,0.000524784119085013,1
ols,1,300,1.873719555118227e-06,0.9978796030579947,0.00022244025755738944,1
ols,2,299,6.659633628020987e-06,0.9924519337780741,0.000461035745418852,1
ols,5,296,3.7524291850983656e-05,0.9572250487985291,0.0012260105501172313,1
ols,10,291,0.00013987129453855936,0.8380367465279644,0.0025537467014836637,1
ols,20,281,0.0004844383778194564,0.4039966414297247,0.004498479161540781,1
ols,50,251,0.0009534719850218744,-0.4987922885333411,0.00258309635368289,1
ols,100,201,0.0009555222019303003,-0.9453901607310287,0.003098987928464206,1
ols,200,101,0.0008926770324403677,-5.356662224841111,0.002783629277442759,1
row_stochastic_nlms,1,300,1.3469278294496904e-05,0.9847574753496837,4.440892098500626e-16,1
row_stochastic_nlms,2,299,5.252308048947864e-05,0.9404700450718426,4.440892098500626e-16,1
row_stochastic_nlms,5,296,0.0003145849887908897,0.6413960962225906,6.661338147750939e-16,1
row_stochastic_nlms,10,291,0.0011849631360691297,-0.3721220311525357,8.881784197001252e-16,1
row_stochastic_nlms,20,281,0.004227474958485103,-4.201052164508472,1.7763568394002505e-15,1
row_stochastic_nlms,50,251,0.019049473085644378,-28.944459627444857,3.552713678800501e-15,1
row_stochastic_nlms,100,201,0.04601564723840206,-92.68530338323541,6.661338147750939e-15,1
row_stochastic_nlms,200,101,0.08668898949644725,-616.303464541108,1.2878587085651816e-14,1
ridge_1e-10,1,300,1.873719549848716e-06,0.997879603063958,0.00022244025790585064,1
ridge_1e-10,2,299,6.65963359453981e-06,0.9924519338160218,0.00046103574583389637,1
ridge_1e-10,5,296,3.752429141854815e-05,0.957225049291474,0.0012260105484329404,1
ridge_1e-10,10,291,0.00013987129139670737,0.8380367501660559,0.0025537466868196922,1
ridge_1e-10,20,281,0.0004844383567146593,0.40399666739490525,0.004498479103357205,1
ridge_1e-10,50,251,0.0009534719449129846,-0.49879222548492885,0.002583096398161326,1
ridge_1e-10,100,201,0.0009555221025648229,-0.9453899584284327,0.0030989876535507804,1
ridge_1e-10,200,101,0.0008926769381741102,-5.356661553580693,0.002783629163587195,1
ridge_1e-08,1,300,1.873719028215848e-06,0.9978796036542644,0.00022244029238439097,1
ridge_1e-08,2,299,6.65963028016153e-06,0.9924519375725568,0.0004610357868899171,1
ridge_1e-08,5,296,3.752424861034194e-05,0.9572250980897016,0.0012260103816354897,1
ridge_1e-08,10,291,0.00013987098037343185,0.8380371103138745,0.0025537452350829675,1
ridge_1e-08,20,281,0.00048443626745755673,0.40399923780283953,0.004498473343412347,1
ridge_1e-08,50,251,0.0009534679741301033,-0.4987859836877335,0.0025831008005524473,1
ridge_1e-08,100,201,0.0009555122655847696,-0.9453699308831089,0.003098960437262009,1
ridge_1e-08,200,101,0.0008926676059480183,-5.356595099749221,0.002783617890634367,1
ridge_1e-06,1,300,1.8736670004633542e-06,0.9978796625315318,0.00022244374060667122,1
ridge_1e-06,2,299,6.659299397692004e-06,0.9924523125966094,0.000461039893601766,1
ridge_1e-06,5,296,3.751997172355516e-05,0.957229973428171,0.0012259937082489277,1
ridge_1e-06,10,291,0.00013983989948532054,0.8380731002700403,0.0025536000950911347,1
ridge_1e-06,20,281,0.00048422749852583454,0.40425608571202387,0.004497897524253652,1
ridge_1e-06,50,251,0.0009530713653797978,-0.49816254204932076,0.002583540562522329,1
ridge_1e-06,100,201,0.0009545302894154227,-0.943370681913215,0.003096241634203689,1
ridge_1e-06,200,101,0.0008917360984337606,-5.349961929618417,0.0027824938657330794,1
ridge_0.0001,1,300,1.8698115070200078e-06,0.9978840256052293,0.0002230113476879325,1
ridge_0.0001,2,299,6.631713869423258e-06,0.9924835781895488,0.00046146158774847953,1
ridge_0.0001,5,296,3.7130916459327195e-05,0.9576734680051803,0.0012243893332746496,1
ridge_0.0001,10,291,0.00013693991626969183,0.8414311210717141,0.0025394174225473296,1
ridge_0.0001,20,281,0.00046484307559874487,0.428104694116038,0.004442020533512753,1
ridge_0.0001,50,251,0.0009176591858300157,-0.44249703486805436,0.002624473460684008,1
ridge_0.0001,100,201,0.0008711909247306834,-0.7736963617019794,0.0028529475481646853,1
ridge_0.0001,200,101,0.0008132402363426077,-4.791000890823572,0.0026971463535570943,1
ridge_0.01,1,300,9.547950815285289e-06,0.9891950502113054,0.000305770840639347,1
ridge_0.01,2,299,3.090718130268114e-05,0.9649696268238958,0.0005989379472324403,1
ridge_0.01,5,296,0.00012458411288989116,0.857983213367318,0.001360147635145658,1
ridge_0.01,10,291,0.0003257969961457508,0.6227450268386889,0.0022902120921882573,1
ridge_0.01,20,281,0.000786482805174643,0.032392116719220376,0.0032485500961771563,1
ridge_0.01,50,251,0.0019601428119707027,-2.081209492419799,0.0047052126565766406,1
ridge_0.01,100,201,0.00414615910944091,-7.4413497876211885,0.007221397992024814,1
ridge_0.01,200,101,0.00675499004605206,-47.10159609184888,0.012479446185697851,1
nlms,1,300,1.577071103473386e-05,0.9846460019592209,4.440892098500626e-16,2
nlms,2,299,3.2902648400923906e-05,0.9679179899222119,5.551115123125783e-16,2
nlms,5,296,8.883677303181808e-05,0.9129208945371937,5.551115123125783e-16,2
nlms,10,291,0.00019691238022816415,0.8049261499322049,9.992007221626409e-16,2
nlms,20,281,0.0004445273931081052,0.5457289202468211,1.7763568394002505e-15,2
nlms,50,251,0.0009218872973877906,-0.1406620793172879,3.885780586188048e-15,2
