estimator,horizon,n_runs,relative_association_error_mean,relative_association_error_std,relative_association_error_min,relative_association_error_max,association_r2_mean,association_r2_std,simplex_violation_mean,simplex_violation_max
ols,10,3,0.0001668324565162428,7.446860969968606e-05,0.00010959956185005814,0.000251026513160111,0.8050845738185499,0.04695763201570024,0.0011881253722327478,0.0025537467014836637
ols,20,3,0.0004667402191050288,0.00010061285793707894,0.0003584525729547642,0.0005573297065408658,0.41239084508959833,0.015656192303297126,0.0019367486622794982,0.004498479161540781
ols,50,3,0.0008857447977835834,8.764523849416625e-05,0.0007867547202098178,0.0009534719850218744,-0.4804749836632826,0.3370653420283823,0.0012004257036850518,0.00258309635368289
ols,100,3,0.0008353624067136529,0.00011037916344229408,0.0007384752077597987,0.0009555222019303003,-1.1613346767504387,0.1985722715071821,0.0017323224735463192,0.003098987928464206
ols,200,3,0.0008053234030332333,0.00038043407366680136,0.0003888100397205364,0.001134483136938796,-5.285024556083496,3.756286155352464,0.0010930660248040635,0.002783629277442759
ridge_0.0001,1,3,6.683736645612629e-06,8.384778835559142e-06,1.8158033605849749e-06,1.6365595069232906e-05,0.9930526367986322,0.0077892892804528185,0.00013645992158391318,0.0002230113476879325
ridge_0.0001,2,3,1.60385348801828e-05,1.6675982303913414e-05,6.191269296319055e-06,3.5292621474806086e-05,0.9828363476947596,0.014972810656872561,0.00027408237618635543,0.00046146158774847953
ridge_0.0001,5,3,5.767992292903957e-05,3.975010100046641e-05,3.241044946772303e-05,0.00010349840286006848,0.9352058065957777,0.03201416478494679,0.0006538321202389482,0.0012243893332746496
ridge_0.0001,10,3,0.0001647755033898973,7.312082243917536e-05,0.0001096604081111538,0.00024772618578884626,0.8072736512796598,0.04629242665284204,0.0011850649189512569,0.0025394174225473296
ridge_0.0001,20,3,0.00045591524956239434,9.202501570363441e-05,0.000359751696648783,0.0005431509764396552,0.4245351386151052,0.022407488869692193,0.0019211076290908582,0.004442020533512753
ridge_0.0001,50,3,0.0008525126019933131,7.201109507127282e-05,0.0007751895639955761,0.0009176591858300157,-0.431272610390728,0.3559031532762759,0.0012515977304128607,0.002624473460684008
ridge_0.0001,100,3,0.0007776078217303551,8.350989712352724e-05,0.0007106778730197732,0.0008711909247306834,-1.0195222017289856,0.23768678188852319,0.0017079100000483305,0.0028529475481646853
ridge_0.0001,200,3,0.0007368054961144338,0.00031828674790906496,0.00038726072316015784,0.001009915528840536,-4.7269726179641,3.211940957125457,0.0012006593086627108,0.0026971463535570943
