n_clusters,omega,horizon,n_runs,relative_association_error_mean,relative_association_error_std,relative_association_error_min,relative_association_error_max,association_r2_mean,association_r2_std,simplex_violation_mean,simplex_violation_max
10,4.0,10,3,0.05495886116622961,0.00229716724008135,0.05244437663080088,0.05694754240591653,0.9276357539157395,0.0032160111802030018,0.10929555629718772,0.11223467716722622
20,8.0,10,3,0.05711017234943636,0.00526430546734103,0.05226943905073951,0.06271462252495716,0.9342110659037205,0.006067038143212958,0.18949620901708,0.20464368773037875
40,2.0,10,3,0.057986600536918016,0.0019147855010783128,0.056132746101868254,0.059956993765089374,0.9056003707861985,0.003773653186059847,0.045601733657199245,0.04774399264281225
30,12.0,10,3,0.06687554275445785,0.009301627688030115,0.056138357567982286,0.07247848199312865,0.926625421299564,0.010259049746302663,0.1691971282247141,0.19262675552175504
50,1.0,10,3,0.07033057843207352,0.001599717040369587,0.06929211483838346,0.07217279535078655,0.6541721835184252,0.0188654978695617,6.5503158452884236e-15,7.105427357601002e-15
50,2.0,10,3,0.07635129080051438,0.0014614608477360816,0.07544620136531735,0.0780373174373912,0.8766493329354897,0.002024089905654545,0.05062027855625228,0.05193052006576185
25,12.0,10,3,0.09182830464440757,0.007626092456300164,0.08544483412801514,0.10027320697369525,0.8985942949878657,0.008562637957329403,0.18021747907848015,0.1935397952127302
15,8.0,10,3,0.09761126219069066,0.006587765907460022,0.09078461834190239,0.10393084631468819,0.8858052872121799,0.006949566689516396,0.21195466238938723,0.22573338998145412
10,6.0,10,3,0.11190089722168116,0.004223573981820024,0.10711729177792147,0.11511514532091537,0.8604822110357083,0.005651478021345049,0.1350769420618377,0.139612717498116
20,12.0,10,3,0.13042402562404068,0.00715454937709962,0.12289718451493978,0.13713661114144385,0.8532402623530942,0.008221249918238987,0.23258019468955723,0.2532330500863134
10,8.0,10,3,0.16482211404259614,0.004979781899627194,0.15912884017257073,0.1683674656894327,0.7993065517271319,0.006573039994025251,0.12718343467149226,0.13083452285609146
15,12.0,10,3,0.18328337202403336,0.007232787678049395,0.17531545059894757,0.18943467874459785,0.7905701238112286,0.0071997000839330175,0.21196935376160195,0.23851191497898097
10,12.0,10,3,0.24018131138148943,0.005079827094534799,0.23433246064438026,0.24349025216148168,0.7140550073566855,0.006645200525326285,0.09379701222381004,0.09608410109733896
10,0.5,50,3,0.026644856042287817,0.0011077467955121598,0.02596879394764356,0.027923263607876097,0.6648763522982443,0.014715236424600306,1.9576932667556928e-14,2.2426505097428162e-14
15,0.5,50,3,0.027668569785217423,0.0015473294662595217,0.02654583074983223,0.029433609220691354,0.4931358016012595,0.031376889165172304,2.3573735556207492e-14,2.7755575615628914e-14
20,0.5,50,3,0.04159687486332369,0.001879577841523821,0.039495337475527546,0.0431171840965989,0.14596609266732566,0.041263055652297494,2.438789910759927e-14,2.8754776337791554e-14
10,1.0,50,3,0.042707046009436866,0.0029068000562847856,0.04041163993718395,0.045975555446396636,0.8396776658102829,0.010786464517161441,0.000457979259559567,0.001373937778629407
15,1.0,50,3,0.0468527547446626,0.002558408518305863,0.044230447740948475,0.04934207785665391,0.7894348407483881,0.012114120093609506,0.003281056738642887,0.004022722106162095
25,0.5,50,3,0.05442225447936782,0.00028916021361454,0.054089014134611375,0.05460695180881133,-0.15915393052747273,0.06504880353952798,1.5987211554602254e-14,1.7319479184152442e-14
20,1.0,50,3,0.06250333852243194,0.00048093462634252475,0.0621001154060565,0.06303564095383901,0.7053856369854183,0.0015415359740922577,0.007528379166169694,0.011654631252210163
30,0.5,50,3,0.06275765999454151,0.0004944582314841263,0.06228398488280001,0.0632705643160142,-0.4085281645670044,0.060314871209600496,1.7208456881689926e-14,1.9539925233402755e-14
40,0.5,50,3,0.0696952117234974,0.001886010166514307,0.06759344440692078,0.07124002347212181,-0.5538888861724486,0.12986701131213724,2.002102187740699e-14,2.9531932455029164e-14
50,0.5,50,3,0.07045356630646031,0.00023497799986866297,0.07027492438906272,0.07071974867823064,-0.4248737529922247,0.12709677291818214,1.8614739379548457e-14,2.042810365310288e-14
15,2.0,50,3,0.07086044775628553,0.0022988431102537424,0.06945192485980864,0.07351322840718438,0.8788443534025955,0.0033521154444767307,0.03503752967124014,0.04318210758918514
10,2.0,50,3,0.07866651170275786,0.0021625823925914504,0.07731857561743935,0.08116093678615406,0.8667454456453498,0.0037302443865533334,0.061403028445782076,0.06877659086470508
25,1.0,50,3,0.08209951305371825,0.0009565535862150842,0.08099534028839143,0.08267602568320438,0.6085362755305619,0.012590187643899376,0.00628713194572435,0.007591486623427005
20,2.0,50,3,0.08322348242809735,0.0006627047422497509,0.08248110126937497,0.08375539088692695,0.8600523548739663,0.0006876728694932994,0.029839871731155487,0.046421541258264656
20,4.0,50,3,0.08355032125554995,0.003305974251858861,0.07998471132764529,0.08651392473553901,0.898658697778405,0.004033580808846962,0.0939617351953727,0.09674787530650235
25,4.0,50,3,0.09150367609227024,0.0028700454972574885,0.08958550776686142,0.09480319480071113,0.8915286775605981,0.0034077507078460116,0.09134241611497303,0.09778104449661512
25,2.0,50,3,0.09302825085338891,0.001870316319421808,0.09116372964413216,0.09490430890973527,0.8471157427766468,0.0033734862772306588,0.03430390400492979,0.037973434252269025
30,6.0,50,3,0.09307482036832242,0.006352404277312632,0.08590183171372057,0.09798955240896187,0.8956099970827488,0.007272696448428258,0.103498845908203,0.10882706513405291
25,6.0,50,3,0.09345032826550091,0.003386345055524412,0.0895572506790609,0.09571355778252486,0.8941557114777617,0.0038983876605679373,0.11928359345440336,0.12347271692326758
15,4.0,50,3,0.09581849235432323,0.00571201094790945,0.09078424703735997,0.10202605531655082,0.881161945451645,0.006942783177893001,0.14281470352622275,0.15252532594606563
40,8.0,50,3,0.10075804935799705,0.007543434100002285,0.09607781488381908,0.10946015936238107,0.890055327047996,0.008442450074236971,0.1031877855766956,0.10741181849917332
30,4.0,50,3,0.10175398228857979,0.001971747654054611,0.10018397357294709,0.10396695488340209,0.8809599284621198,0.002304670857973078,0.09316752403721129,0.11794142008372901
30,8.0,50,3,0.10524253351872076,0.008049695033050938,0.09624921519171122,0.11177334096269347,0.8839123079659988,0.0090464271039224,0.11216619268106741,0.11705233829935455
40,6.0,50,3,0.10537300818560223,0.010607808704932786,0.09845501368842102,0.11758595423591515,0.8833034162721423,0.011987624035455051,0.08489250934207092,0.09292478420907538
30,1.0,50,3,0.10880343944322163,0.0026221673426912707,0.10698014277817032,0.11180851881747905,0.47055557216492905,0.016738863282121076,0.005705167266110158,0.0073074574246233415
30,2.0,50,3,0.10921347413081826,0.007687844561099197,0.10064804060601248,0.11551558817823529,0.8229422477206342,0.01246894312100105,0.02518866404054784,0.028596849054713533
50,8.0,50,3,0.11236064640702755,0.0005436202336752776,0.11178819707126093,0.11286991653428279,0.878356539070075,0.0006254689160812832,0.09261638974442228,0.1015358954363775
50,12.0,50,3,0.11409030388804196,0.003240348817410249,0.11083277597701431,0.11731319594071388,0.8783870854821078,0.0035193182791193847,0.09418083592047362,0.09943242081409245
20,6.0,50,3,0.11716574604014596,0.003392853395764463,0.11388853050369198,0.12066347938532275,0.8647323502804799,0.003462488763354115,0.14729011772190947,0.16570944394076276
