experiment,status,seed,n_steps,dt,mu,train_fraction,n_train,n_test,state_dim,n_clusters,effective_regimes,subspace_dim,Nb,omega,tau,beta,nlms_epochs,train_closure_error,train_association_r2,test_closure_error,test_association_r2,raw_predicted_simplex_violation,projected_stochastic_simplex_violation,nlms_history_first,nlms_history_last,B_raw_spectral_radius,B_raw_min_entry,B_raw_max_entry,B_raw_row_sum_min,B_raw_row_sum_max,fit_seconds,eval_seconds,total_job_seconds,error_message
09_vanderpol_kahkm_sensitivity,ok,2,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,0.005973003140822266,0.9932600403586493,0.0056643544453560115,0.9934760795711568,0.027744819713328907,7.771561172376096e-16,0.0058858618776440105,0.005973003140822266,0.9999999999999997,-0.03784338790753657,0.9926075850140528,0.9999999999999983,1.0000000000000007,0.5769309997558594,0.035192012786865234,0.6483068466186523,
09_vanderpol_kahkm_sensitivity,ok,0,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,0.5,1e-06,0.1,20,0.000568969120286912,0.9883832654280664,0.0005292826989520494,0.9885738173162478,8.881784197001252e-16,8.881784197001252e-16,0.0006192069384394032,0.000568969120286912,0.9999999999999999,-0.00955886854078297,0.9990133086373265,0.9999999999999912,1.0000000000000078,0.5874948501586914,0.038109779357910156,0.6647932529449463,
09_vanderpol_kahkm_sensitivity,ok,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,0.5,1e-06,0.1,20,0.000586582462421659,0.9882776809746798,0.0004973941744812876,0.9892882509984348,9.992007221626409e-16,8.881784197001252e-16,0.0006394765788823782,0.000586582462421659,0.999999999999999,-0.009438875998176055,0.9991385906210877,0.9999999999999917,1.0000000000000122,0.5537550449371338,0.03604292869567871,0.6260559558868408,
09_vanderpol_kahkm_sensitivity,ok,2,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,0.5,1e-06,0.1,20,0.0006021672733129002,0.9876845484455486,0.0005575816561450736,0.988060621866117,8.881784197001252e-16,6.661338147750939e-16,0.0006527264127879619,0.0006021672733129002,1.0000000000000004,-0.008533534579239787,0.9988192180570203,0.9999999999999871,1.0000000000000069,0.5742928981781006,0.03551530838012695,0.6459541320800781,
09_vanderpol_kahkm_sensitivity,ok,0,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,1.0,1e-06,0.1,20,0.0018989050214931406,0.9910879209141574,0.0017833468427085177,0.9912146145325752,1.3322676295501878e-15,6.661338147750939e-16,0.0022549028960115983,0.0018989050214931406,1.0000000000000007,-0.028409492733832274,0.9984450388326362,0.9999999999999941,1.0000000000000049,0.5623199939727783,0.04885387420654297,0.6468219757080078,
09_vanderpol_kahkm_sensitivity,ok,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,1.0,1e-06,0.1,20,0.0019236932100083273,0.991076453409387,0.001647306811024522,0.991840757904629,8.881784197001252e-16,6.661338147750939e-16,0.0022752491326827194,0.0019236932100083273,1.0000000000000002,-0.024317379593227887,0.9988267223179469,0.9999999999999949,1.0000000000000082,0.5767719745635986,0.03850889205932617,0.6533281803131104,
09_vanderpol_kahkm_sensitivity,ok,2,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,1.0,1e-06,0.1,20,0.002058819521566067,0.9903592501168013,0.0019074249376241016,0.9906804873320842,8.881784197001252e-16,6.661338147750939e-16,0.002418693095524372,0.002058819521566067,1.0000000000000013,-0.028205117731146822,0.9995706802750972,0.9999999999999926,1.0000000000000075,0.5694823265075684,0.03580784797668457,0.642258882522583,
09_vanderpol_kahkm_sensitivity,ok,0,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,2.0,1e-06,0.1,20,0.003288090759046793,0.9944785324446322,0.003118447830632322,0.9945861531790823,1.1102230246251565e-15,8.881784197001252e-16,0.004100257946312866,0.003288090759046793,0.999999999999998,-0.059760838046007625,1.0030481164826648,0.9999999999999944,1.0000000000000049,0.5738790035247803,0.15036702156066895,0.7602097988128662,
09_vanderpol_kahkm_sensitivity,ok,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,2.0,1e-06,0.1,20,0.003223362663736554,0.9945851887435733,0.002807492180796187,0.9950624170104275,2.1094237467877974e-15,8.881784197001252e-16,0.004009225254442532,0.003223362663736554,0.9999999999999996,-0.05222379283327768,1.002086318180957,0.9999999999999946,1.0000000000000062,0.698962926864624,0.03521299362182617,0.8186039924621582,
09_vanderpol_kahkm_sensitivity,ok,2,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,2.0,1e-06,0.1,20,0.0038005565162969085,0.9936324158177094,0.003519544066205093,0.9939301299165187,1.3322676295501878e-15,8.881784197001252e-16,0.004642799250404822,0.0038005565162969085,1.0000000000000002,-0.059460306410812465,1.0020448106412851,0.9999999999999923,1.000000000000005,0.6287581920623779,0.04665803909301758,0.7420392036437988,
09_vanderpol_kahkm_sensitivity,ok,0,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,0.0018778350818338364,0.9977227736033206,0.0017910268988048164,0.9977712695316271,0.020826889026260963,9.992007221626409e-16,0.002761844277788141,0.0018778350818338364,1.000000000000001,-0.08098091114760253,1.0168956048559843,0.9999999999999974,1.0000000000000029,0.7017929553985596,0.03622889518737793,0.7770929336547852,
09_vanderpol_kahkm_sensitivity,ok,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,0.0017329172905895362,0.9978926246153298,0.0014896559613020658,0.9981221637968385,0.019124350830139736,8.881784197001252e-16,0.0026388317135974757,0.0017329172905895362,0.9999999999999981,-0.08477013981362366,1.0034254062606134,0.9999999999999962,1.0000000000000036,0.5612170696258545,0.03593111038208008,0.6326971054077148,
09_vanderpol_kahkm_sensitivity,ok,2,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,0.0026614042466218788,0.9967678102955714,0.0023862199668524147,0.9970469417875345,0.018751673699561055,9.992007221626409e-16,0.00356503195865826,0.0026614042466218788,1.0000000000000002,-0.0861962497775887,1.0125712419747772,0.9999999999999969,1.0000000000000024,0.5662732124328613,0.03598785400390625,0.63785719871521,
09_vanderpol_kahkm_sensitivity,ok,0,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,6.0,1e-06,0.1,20,0.0019500091958203286,0.997749014801053,0.0018828548614385097,0.9977769878797152,0.02313958387031937,8.881784197001252e-16,0.0026421960658384847,0.0019500091958203286,1.0,-0.0879540634263794,1.0020227630903535,0.9999999999999982,1.0000000000000013,0.6994829177856445,0.04400491714477539,0.7800920009613037,
09_vanderpol_kahkm_sensitivity,ok,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,6.0,1e-06,0.1,20,0.0016755337508156279,0.998061567390269,0.0015083703664783856,0.9981980222349482,0.024706214236245375,8.881784197001252e-16,0.0024519052371961827,0.0016755337508156279,1.0000000000000018,-0.09059852081160802,1.001102364795041,0.9999999999999989,1.0000000000000009,0.5893068313598633,0.035926103591918945,0.679157018661499,
09_vanderpol_kahkm_sensitivity,ok,2,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,6.0,1e-06,0.1,20,0.0024283190348891644,0.9971891620454564,0.0021377524918350667,0.9974856447797938,0.023617112009562048,8.881784197001252e-16,0.0031752269775809122,0.0024283190348891644,1.0000000000000004,-0.09280589453436264,1.003881585428476,0.9999999999999968,1.000000000000002,0.5597338676452637,0.03571319580078125,0.6310138702392578,
09_vanderpol_kahkm_sensitivity,ok,0,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,8.0,1e-06,0.1,20,0.0032767001850301336,0.9962930451839649,0.0031838544513870565,0.9963256319216008,0.024676301187808423,1.1102230246251565e-15,0.003630666401414303,0.0032767001850301336,0.9999999999999994,-0.07924347196287661,0.9962230350594824,0.9999999999999986,1.0000000000000016,0.604511022567749,0.03697490692138672,0.6771018505096436,
