n_clusters,omega,horizon,n_runs,relative_association_error_mean,relative_association_error_std,association_r2_mean,association_r2_std,simplex_violation_mean,simplex_violation_max,train_closure_error_mean,fit_seconds_mean
10,2.0,100,3,1.7644619370200397e-05,4.569372498643419e-06,-0.8826989424542114,0.28932945927814074,1.0473103865630643e-14,1.6209256159527285e-14,8.519909709860332e-05,0.5594040552775065
10,2.0,200,3,3.0715397410345436e-05,4.113917414124821e-06,-4.3458871990804155,0.6206435053488563,2.002102187740699e-14,3.097522238704187e-14,8.519909709860332e-05,0.5594040552775065
10,4.0,1,3,2.9616791753834133e-08,1.3711290314720562e-08,0.9994277978764649,0.0002039109683287378,6.291263806209221e-16,6.661338147750939e-16,0.00010788603980757793,0.5954229831695557
10,4.0,10,3,2.570496148849553e-06,1.1244937712805625e-06,0.9475325403662154,0.016425798381760563,1.5913196686293911e-15,1.9984014443252818e-15,0.00010788603980757793,0.5954229831695557
10,4.0,50,3,2.6262535833115736e-05,5.333856849310404e-06,0.35953461604129555,0.07952193442461052,6.3652786745175644e-15,8.881784197001252e-15,0.00010788603980757793,0.5954229831695557
10,4.0,100,3,3.410139403167019e-05,3.17073923971681e-06,-0.12070478411421563,0.17692965019589355,1.1398289719484941e-14,1.709743457922741e-14,0.00010788603980757793,0.5954229831695557
10,4.0,200,3,5.7278097441059964e-05,2.7223454951658198e-05,-1.8923445820164588,1.1152479572135487,2.1464311809419694e-14,3.2862601528904634e-14,0.00010788603980757793,0.5954229831695557
10,6.0,1,3,8.741451913703144e-08,5.82707021836509e-08,0.9991896776606178,0.0004805415471845284,4.440892098500626e-16,4.440892098500626e-16,0.00016385466589507444,0.5601472854614258
10,6.0,10,3,7.104887628484679e-06,4.5771215931070765e-06,0.9306019967279032,0.038191098933061496,5.705981079609191e-06,1.7117943235718947e-05,0.00016385466589507444,0.5601472854614258
10,6.0,50,3,6.024530993979743e-05,2.7959863952671764e-05,0.2996278854652549,0.24707465053700206,4.679524686854543e-05,0.00014038574059386792,0.00016385466589507444,0.5601472854614258
10,6.0,100,3,7.374458370503167e-05,3.784195350463279e-05,-0.17928574016598256,0.5301061337770149,2.9299895611136823e-05,8.789968681342645e-05,0.00016385466589507444,0.5601472854614258
