n_clusters,omega,seed,horizon,n_eval_starts,relative_association_error,association_r2,simplex_violation,train_closure_error,train_association_r2,fit_seconds
8,20.0,2,10,391,1.017465142768859e-05,0.9595787635755312,3.458871085440398e-05,0.0017905557771838987,0.9962366245433286,0.575634241104126
8,20.0,2,50,351,0.00011999866124717045,0.39263925062063565,0.000135184972300763,0.0017905557771838987,0.9962366245433286,0.575634241104126
8,20.0,2,100,301,0.00015556846750503246,-0.06381728406569387,0.00010025341655532404,0.0017905557771838987,0.9962366245433286,0.575634241104126
8,20.0,2,200,201,0.00010092557819759526,-0.18419415525159533,8.504870855396274e-05,0.0017905557771838987,0.9962366245433286,0.575634241104126
10,2.0,0,1,400,1.3501668251862053e-08,0.9992438738012716,4.440892098500626e-16,0.00011274524749494182,0.9991101305381794,0.5725681781768799
10,2.0,0,10,391,1.1989765899259832e-06,0.9303150035292453,1.2212453270876722e-15,0.00011274524749494182,0.9991101305381794,0.5725681781768799
10,2.0,0,50,351,1.247995108541671e-05,0.17640924760701338,4.218847493575595e-15,0.00011274524749494182,0.9991101305381794,0.5725681781768799
10,2.0,0,100,301,2.4029934146687046e-05,-1.0721212713362749,8.215650382226158e-15,0.00011274524749494182,0.9991101305381794,0.5725681781768799
10,2.0,0,200,201,3.605054975940632e-05,-4.224673008873884,1.532107773982716e-14,0.00011274524749494182,0.9991101305381794,0.5725681781768799
10,2.0,1,1,400,6.34528161115301e-09,0.9993645707056764,4.440892098500626e-16,7.8320770011105e-05,0.9965785516397034,0.5614719390869141
10,2.0,1,10,391,6.024201375141818e-07,0.9362848575070989,9.992007221626409e-16,7.8320770011105e-05,0.9965785516397034,0.5614719390869141
10,2.0,1,50,351,8.983143868662689e-06,-0.07698371757932065,3.774758283725532e-15,7.8320770011105e-05,0.9965785516397034,0.5614719390869141
10,2.0,1,100,301,1.3591982940977506e-05,-1.1020844032735342,6.994405055138486e-15,7.8320770011105e-05,0.9965785516397034,0.5614719390869141
10,2.0,1,200,201,2.6038197690324008e-05,-5.159340813181415,1.3766765505351941e-14,7.8320770011105e-05,0.9965785516397034,0.5614719390869141
10,2.0,2,1,400,8.4053329485312e-09,0.9995502842503068,4.440892098500626e-16,6.453127378976314e-05,0.9989606042900826,0.5441720485687256
10,2.0,2,10,391,7.558586248551476e-07,0.9558802339178839,2.220446049250313e-15,6.453127378976314e-05,0.9989606042900826,0.5441720485687256
10,2.0,2,50,351,9.023533013622336e-06,0.37806051049953493,8.548717289613705e-15,6.453127378976314e-05,0.9989606042900826,0.5441720485687256
10,2.0,2,100,301,1.5311941022936636e-05,-0.47389115275282534,1.6209256159527285e-14,6.453127378976314e-05,0.9989606042900826,0.5441720485687256
10,2.0,2,200,201,3.005744478130598e-05,-3.6536477751859477,3.097522238704187e-14,6.453127378976314e-05,0.9989606042900826,0.5441720485687256
10,4.0,0,1,400,4.870063570725011e-08,0.9991467743853938,5.551115123125783e-16,0.00013600425362014892,0.9994245367056244,0.6690430641174316
10,4.0,0,10,391,4.133355472452541e-06,0.9250215530053154,9.992007221626409e-16,0.00013600425362014892,0.9994245367056244,0.6690430641174316
10,4.0,0,50,351,3.327549904488479e-05,0.3015380194424534,3.552713678800501e-15,0.00013600425362014892,0.9994245367056244,0.6690430641174316
10,4.0,0,100,301,3.353764531827464e-05,0.0906938521226599,5.10702591327572e-15,0.00013600425362014892,0.9994245367056244,0.6690430641174316
10,4.0,0,200,201,4.625828277899608e-05,-1.130262155098415,8.43769498715119e-15,0.00013600425362014892,0.9994245367056244,0.6690430641174316
10,4.0,1,1,400,1.7099235708045053e-08,0.9995122839795962,6.661338147750939e-16,7.66719806899274e-05,0.9989166671804733,0.5582239627838135
10,4.0,1,10,391,1.534444387764472e-06,0.9538229696215623,1.7763568394002505e-15,7.66719806899274e-05,0.9989166671804733,0.5582239627838135
10,4.0,1,50,351,2.035006096535709e-05,0.3050889021579275,6.661338147750939e-15,7.66719806899274e-05,0.9989166671804733,0.5582239627838135
10,4.0,1,100,301,3.053073395886204e-05,-0.3423312954426754,1.199040866595169e-14,7.66719806899274e-05,0.9989166671804733,0.5582239627838135
10,4.0,1,200,201,3.084121286949602e-05,-1.0775221786526763,2.3092638912203256e-14,7.66719806899274e-05,0.9989166671804733,0.5582239627838135
10,4.0,2,1,400,2.3050503846207232e-08,0.9996243352644046,6.661338147750939e-16,0.00011098188511265746,0.9993389906924613,0.5590019226074219
10,4.0,2,10,391,2.0436885863316463e-06,0.9637530984717684,1.9984014443252818e-15,0.00011098188511265746,0.9993389906924613,0.5590019226074219
