rank,n_clusters,omega,selection_objective_mean_error,selection_horizons,E1,E10,E50,E100,E200,E200_std,train_closure_error_mean_h1row,n_runs
23,10,10.0,0.00011554839009055748,1 10 50 100 200,2.378327629691978e-07,1.8116864984108758e-05,0.00014186684333833988,0.00017666328867065167,0.00024085712069671792,0.00025237626177599835,0.0004339087777940388,3
24,20,6.0,0.00011912947662190898,1 10 50 100 200,9.44353021823111e-08,8.97470344105737e-06,0.00014391717268772515,0.00020634354613458683,0.00023631752554399322,0.00011707653781576739,0.0006933981371205476,3
25,12,8.0,0.00013034319655241136,1 10 50 100 200,1.2920018888233565e-07,1.1339357560867822e-05,0.00012457935586091182,0.00018340164256708212,0.00033226642658431264,0.0002101502834678653,0.0002541118564926792,3
26,15,8.0,0.0001343303592813892,1 10 50 100 200,1.3150698662057968e-07,1.1656612512686514e-05,0.0001590430877605975,0.00018215928986587727,0.00031866129928116406,0.0001652736998482212,0.0003196734483208319,3
27,30,8.0,0.00014004487888356215,1 10 50 100 200,1.3114052848011175e-07,1.1982119466764541e-05,0.00016115293528926427,0.0002534928365592978,0.00027346536257400405,7.221408479407984e-05,0.0008713038073785821,3
28,30,12.0,0.00014332859986870104,1 10 50 100 200,1.5852814245318337e-07,1.4037201760677274e-05,0.00016689640900093767,0.0002712629952738002,0.0002642878651656369,8.692440616039316e-05,0.0007420634374005469,3
29,30,10.0,0.0001459031466067014,1 10 50 100 200,1.43988250263251e-07,1.290931343671203e-05,0.00017019267443082228,0.0002768627879295417,0.00026940696898616775,6.214254380664006e-05,0.0007427877906093815,3
30,10,12.0,0.0001476167409970533,1 10 50 100 200,3.022796308585074e-07,2.295998862220937e-05,0.00018096062316835893,0.00022796831973012275,0.00030589249383371697,0.0003331824054810449,0.0006352038493938441,3
31,30,16.0,0.00014801798701391883,1 10 50 100 200,2.2596901815539353e-07,1.924945705950713e-05,0.00015644621961292583,0.00022959315742321414,0.00033457513195579166,0.00013840271119190006,0.0009986979295497722,3
32,20,8.0,0.0001555879627727634,1 10 50 100 200,1.3863579950290483e-07,1.3130364870713392e-05,0.00017522954316384384,0.00023334970325788193,0.0003560915667718749,0.0002004744398406736,0.0005740552680945612,3
33,30,20.0,0.00016422605451847695,1 10 50 100 200,3.3372789892041677e-07,2.7258698098950286e-05,0.00018212295229269826,0.00024059177155392173,0.0003708231227478941,0.00023471723946581058,0.0014956961799446763,3
34,12,10.0,0.0001747580783978716,1 10 50 100 200,1.9108835811155006e-07,1.621027327705634e-05,0.0001656802895304174,0.00024082157069121242,0.00045088717013256024,0.00030480358091602544,0.00040100131489527604,3
35,15,10.0,0.00019365309948674996,1 10 50 100 200,1.8211026403814116e-07,1.683987054703928e-05,0.00019950876286395464,0.00023181252128073824,0.0005199222324779795,0.0002804991160513539,0.00041416178386910485,3
36,25,20.0,0.0002013218879218413,1 10 50 100 200,1.5373673763936784e-06,3.182680761013886e-05,0.00023526023408640976,0.0003208129198185597,0.00041717211071770453,0.000135314425663801,0.0015186804635814951,3
37,20,10.0,0.00020186254724864562,1 10 50 100 200,2.1235967465699701e-07,1.9805896251500035e-05,0.00021551009324155781,0.00029333501008484684,0.00048044937699066637,0.00031201405663177967,0.0005708506422560027,3
38,12,12.0,0.00020539358336236861,1 10 50 100 200,2.644431558135502e-07,2.1595409175024178e-05,0.00020361777783422166,0.0002858554829355314,0.0005156348037112522,0.00035995484106038784,0.0005958171845426536,3
39,10,16.0,0.00021135097421566163,1 10 50 100 200,4.6021006820728897e-07,3.54719931646523e-05,0.00027190151145417476,0.00032144102379625804,0.0004274801325950158,0.0004540137002803135,0.0010882862689135945,3
40,25,16.0,0.00021638323409892482,1 10 50 100 200,5.223966840872683e-06,4.7671479411820414e-05,0.00027295258213436206,0.0003455965859942418,0.00041047155611332714,0.00013242465552512167,0.0009641213760185264,3
41,12,16.0,0.00023621304066716393,1 10 50 100 200,4.3491234618047896e-07,3.4340285507511154e-05,0.00027579629633946303,0.000348839293810552,0.000521654415332113,0.00033566916168502456,0.0010585407891346545,3
